YEAR;Abduction/forced disappearance;Agreement;Air/drone strike;Armed clash;Arrests;Attack;Change to group/activity;Disrupted weapons use;Excessive force against protesters;Government regains territory;Grenade;Headquarters or base established;Looting/property destruction;Mob violence;Non-state actor overtakes territory;Non-violent transfer of territory;Peaceful protest;Protest with intervention;Remote explosive/landmine/IED;Sexual violence;Shelling/artillery/missile attack;Suicide bomb;Violent demonstration
2016;1;0;8;25;0;7;4;2;0;3;0;0;0;1;4;0;2;0;18;0;11;1;0
2017;29;15;395;1369;15;216;23;148;3;78;13;2;35;0;78;10;112;2;849;4;381;77;5
2018;35;10;620;1424;4;230;22;115;5;58;19;1;45;2;137;11;155;2;790;1;364;59;8
2019;10;8;705;1484;3;292;7;97;4;65;25;0;59;1;88;7;51;0;734;3;342;33;2
2020;21;77;435;1356;8;471;50;163;3;47;34;0;34;5;55;17;113;0;704;1;294;44;6
2021;49;46;375;1017;10;528;77;105;7;83;22;1;41;4;187;62;148;12;503;6;264;21;5
2022;113;8;20;525;55;570;50;107;8;1;27;7;24;21;10;0;183;26;245;17;43;6;3
2023;125;0;6;222;53;321;10;134;0;0;10;5;37;51;0;0;163;12;69;19;19;6;0
2024;89;0;12;259;44;308;9;63;8;0;10;1;18;36;0;0;51;11;57;18;21;3;1
2025;42;3;18;136;37;199;26;41;1;0;9;1;7;36;0;0;81;4;49;6;16;2;4
