YEAR;Abduction/forced disappearance;Agreement;Air/drone strike;Armed clash;Arrests;Attack;Change to group/activity;Disrupted weapons use;Excessive force against protesters;Government regains territory;Grenade;Headquarters or base established;Looting/property destruction;Mob violence;Non-state actor overtakes territory;Non-violent transfer of territory;Peaceful protest;Protest with intervention;Remote explosive/landmine/IED;Sexual violence;Shelling/artillery/missile attack;Suicide bomb;Violent demonstration
2016;0;0;113;495;0;9;0;1;0;12;0;0;0;0;24;0;0;0;11;0;0;1;0
2017;0;0;7310;23998;0;454;0;246;16;1411;14;0;0;0;580;0;0;0;1053;1;273;967;11
2018;0;0;8705;30528;0;337;0;276;18;739;7;0;0;2;646;0;0;0;880;3;314;816;3
2019;0;0;12522;24997;0;386;0;186;5;652;3;0;0;4;570;0;0;0;881;0;742;473;0
2020;0;0;5046;21613;0;818;0;388;3;613;15;0;0;10;261;0;0;0;1792;1;386;287;8
2021;0;0;7379;29949;0;1115;0;283;14;998;7;0;0;1;911;0;0;0;1172;2;337;444;4
2022;0;0;97;2399;0;827;0;5;3;2;13;0;0;24;95;0;0;0;577;3;46;102;0
2023;0;0;14;523;0;320;0;4;0;0;14;0;0;52;0;0;0;0;102;2;15;83;0
2024;0;0;73;733;0;294;0;2;5;0;19;0;0;30;0;0;0;0;129;4;21;51;0
2025;0;0;65;335;0;155;0;2;1;0;7;0;0;42;0;0;0;0;114;3;15;21;8
