COUNTRY;Protests;Battles;Explosions/Remote violence;Riots;Strategic developments;Violence against civilians
India;148126;6969;1804;24096;5678;7161
Pakistan;80033;8290;7206;4576;1715;6278
Myanmar;17930;25007;24022;245;15421;11262
Afghanistan;1458;41194;17534;205;2376;5139
South Korea;43560;1;2;331;32;8
Bangladesh;13413;1924;250;12638;587;3956
Nepal;17767;77;372;4929;861;646
Indonesia;19056;668;83;1981;545;1140
Philippines;3182;3913;603;116;888;9458
China;12342;7;13;583;1351;2521
Thailand;4512;1705;2741;237;2255;1625
Japan;12977;0;1;16;12;2
Sri Lanka;7092;47;79;874;226;402
Taiwan;6876;0;0;92;7;4
Australia;3996;2;0;80;14;3
