country,total_events,peaceful_events,not_peaceful_events,percentage_peaceful,percentage_not_peaceful
India,193834,176816,17018,91.22032254403251,8.779677455967477
Pakistan,108098,89380,18718,82.68423097559622,17.31576902440378
Myanmar,93887,48702,45185,51.87299626146324,48.12700373853675
Afghanistan,67906,16587,51319,24.42641298265249,75.5735870173475
South Korea,43934,43934,0,100.0,0.0
Bangladesh,32768,23320,9448,71.1669921875,28.8330078125
Nepal,24652,24089,563,97.71620963816324,2.283790361836768
Indonesia,23473,22218,1255,94.65343160226644,5.3465683977335665
Philippines,18160,5864,12296,32.29074889867841,67.70925110132158
China,16817,16693,124,99.26265088898138,0.7373491110186121
Thailand,13075,9991,3084,76.41300191204589,23.58699808795411
Japan,13008,13007,1,99.99231242312423,0.007687576875768758
Sri Lanka,8720,8480,240,97.24770642201835,2.7522935779816518
Taiwan,6979,6979,0,100.0,0.0
Australia,4095,4093,2,99.95115995115995,0.04884004884004884
