;EVENTS;FATALITIES;YEAR;MONTH;FAT_BAT
0;873;2979;2017;April;3.4123711340206184
1;786;1746;2017;August;2.2213740458015265
2;710;1909;2017;December;2.6887323943661974
3;458;1403;2017;February;3.0633187772925763
4;447;1556;2017;January;3.480984340044743
5;934;3223;2017;July;3.4507494646680943
6;523;1311;2017;June;2.5066921606118546
7;681;1840;2017;March;2.7019089574155655
8;754;2620;2017;May;3.4748010610079576
9;534;1188;2017;November;2.2247191011235956
10;729;2180;2017;October;2.99039780521262
11;735;2043;2017;September;2.779591836734694
12;796;1905;2018;April;2.39321608040201
13;817;3132;2018;August;3.8335373317013466
14;865;3227;2018;December;3.730635838150289
15;522;1293;2018;February;2.4770114942528734
16;695;1811;2018;January;2.6057553956834534
17;897;3607;2018;July;4.02118171683389
18;1073;2891;2018;June;2.694315004659832
19;685;1422;2018;March;2.075912408759124
20;845;2876;2018;May;3.403550295857988
21;667;2860;2018;November;4.287856071964018
22;631;2301;2018;October;3.646592709984152
23;747;3203;2018;September;4.287817938420348
24;647;1981;2019;April;3.061823802163833
25;1068;2743;2019;August;2.5683520599250937
26;612;1599;2019;December;2.6127450980392157
27;571;1787;2019;February;3.129597197898424
28;616;2240;2019;January;3.6363636363636362
29;719;2023;2019;July;2.8136300417246174
30;878;2830;2019;June;3.223234624145786
31;765;2561;2019;March;3.3477124183006537
32;550;1782;2019;May;3.24
33;794;1488;2019;November;1.8740554156171285
34;773;1722;2019;October;2.227684346701164
35;910;2241;2019;September;2.4626373626373628
36;343;1574;2020;April;4.588921282798834
37;577;2309;2020;August;4.001733102253033
38;532;1801;2020;December;3.3853383458646618
39;583;1127;2020;February;1.9331046312178388
40;515;826;2020;January;1.603883495145631
41;484;2619;2020;July;5.411157024793388
42;413;1941;2020;June;4.699757869249395
43;451;1167;2020;March;2.587583148558758
44;351;1578;2020;May;4.495726495726496
45;529;1929;2020;November;3.6465028355387523
46;685;2632;2020;October;3.8423357664233575
47;513;2110;2020;September;4.113060428849902
48;684;2494;2021;April;3.646198830409357
49;167;2429;2021;August;14.544910179640718
50;53;112;2021;December;2.1132075471698113
51;569;1559;2021;February;2.739894551845343
52;723;2490;2021;January;3.4439834024896268
53;728;7469;2021;July;10.259615384615385
54;753;6074;2021;June;8.066401062416999
55;577;1483;2021;March;2.5701906412478337
56;1012;5416;2021;May;5.351778656126482
57;44;103;2021;November;2.340909090909091
58;89;247;2021;October;2.7752808988764044
59;24;73;2021;September;3.0416666666666665
60;170;241;2022;April;1.4176470588235295
61;60;172;2022;August;2.8666666666666667
62;30;97;2022;December;3.2333333333333334
63;73;151;2022;February;2.0684931506849313
64;95;228;2022;January;2.4
65;89;282;2022;July;3.168539325842697
66;138;387;2022;June;2.8043478260869565
67;86;119;2022;March;1.3837209302325582
68;106;249;2022;May;2.349056603773585
69;32;63;2022;November;1.96875
70;67;216;2022;October;3.2238805970149254
71;84;194;2022;September;2.3095238095238093
72;22;62;2023;April;2.8181818181818183
73;53;113;2023;August;2.1320754716981134
74;24;31;2023;December;1.2916666666666667
75;23;37;2023;February;1.608695652173913
76;10;22;2023;January;2.2
77;26;26;2023;July;1.0
78;14;15;2023;June;1.0714285714285714
79;17;33;2023;March;1.9411764705882353
80;19;42;2023;May;2.210526315789474
81;22;41;2023;November;1.8636363636363635
82;19;35;2023;October;1.8421052631578947
83;33;66;2023;September;2.0
84;26;54;2024;April;2.076923076923077
85;32;59;2024;August;1.84375
86;35;62;2024;December;1.7714285714285714
87;15;23;2024;February;1.5333333333333334
88;13;22;2024;January;1.6923076923076923
89;52;89;2024;July;1.7115384615384615
90;49;85;2024;June;1.7346938775510203
91;34;64;2024;March;1.8823529411764706
92;33;64;2024;May;1.9393939393939394
93;42;65;2024;November;1.5476190476190477
94;37;62;2024;October;1.6756756756756757
95;44;84;2024;September;1.9090909090909092
