date,Bread,Fuel (diesel),"Wage (non-qualified labour, non-agricultural)",Wheat,Wheat flour,Rice (low quality),Wage (qualified labour),Oil (cooking),Pulses,Rice (high quality),Salt,Sugar,Wheat flour (high quality),Wheat flour (low quality),year
2015-01-15,0.778,0.82625,4.36875,0.4325,0.475,0.7150000000000001,11.51625,,,,,,,,2015
2015-02-15,0.788,0.79,4.41,0.42375,0.47750000000000004,0.69625,11.6325,,,,,,,,2015
2015-03-15,0.776,0.7825,4.43875,0.4125,0.47000000000000003,0.6775,11.33,,,,,,,,2015
2015-04-15,0.5900000000000001,0.7575,4.8325,0.40375,0.4525,0.67125,11.5,,,,,,,,2015
2015-05-15,0.585,0.74375,4.83125,0.39375,0.4425,0.6675,11.307500000000001,,,,,,,,2015
2015-06-15,0.766,0.7474999999999999,4.8500000000000005,0.3825,0.45,0.66875,11.27,,,,,,,,2015
2015-07-15,0.748,0.7225,4.727499999999999,0.37374999999999997,0.46,0.65625,10.93375,,,,,,,,2015
2015-08-15,0.6900000000000001,0.6975,4.48125,0.3525,0.4425,0.6325,10.11,,,,,,,,2015
2015-09-15,0.68,0.69125,4.45,0.35375,0.44,0.6224999999999999,9.78875,,,,,,,,2015
2015-10-15,0.7225,0.6737500000000001,4.31125,0.36625,0.44,0.62125,9.528749999999999,,,,,,,,2015
2015-11-15,0.6783333333333333,0.6487499999999999,4.10125,0.3675,0.4175,0.60875,9.22375,,,,,,,,2015
2015-12-15,0.664,0.62875,3.9,0.3675,0.4175,0.6025,8.84125,,,,,,,,2015
2016-01-15,0.665,0.57875,3.6875,0.365,0.4075,0.5925,8.567499999999999,,,,,,,,2016
2016-02-15,0.6125,0.51125,3.58375,0.36125,0.395,0.59375,8.54125,,,,,,,,2016
2016-03-15,0.6519999999999999,0.50875,3.7712499999999998,0.3625,0.3875,0.6,8.60625,,,,,,,,2016
2016-04-15,0.6359999999999999,0.505,3.9524999999999997,0.355,0.3875,0.5962500000000001,8.78875,,,,,,,,2016
2016-05-15,0.6359999999999999,0.49125,4.21625,0.35125,0.3925,0.58625,9.30875,,,,,,,,2016
2016-06-15,0.6279999999999999,0.49125,4.34625,0.3475,0.40249999999999997,0.5962500000000001,9.19,,,,,,,,2016
2016-07-15,0.6357142857142858,0.51,4.39,0.3525,0.405,0.6075,9.2975,,,,,,,,2016
2016-08-15,0.63,0.5275000000000001,4.475,0.35,0.3975,0.62125,10.026250000000001,,,,,,,,2016
2016-09-15,0.67,0.55,4.52875,0.355,0.4125,0.63375,10.14125,,,,,,,,2016
2016-10-15,0.6466666666666666,0.58125,4.54125,0.35625,0.4125,0.6475,10.185,,,,,,,,2016
2016-11-15,0.6725,0.64125,4.52375,0.35125,0.4125,0.63125,9.97875,,,,,,,,2016
2016-12-15,0.6725,0.66125,4.52625,0.3575,0.4175,0.6325000000000001,9.9,,,,,,,,2016
2017-01-15,0.654,0.62875,4.49375,0.35,0.4125,0.625,10.02125,,,,,,,,2017
2017-02-15,0.654,0.61625,4.48625,0.35125,0.3925,0.6375,9.838750000000001,,,,,,,,2017
2017-03-15,0.654,0.64,4.56625,0.3525,0.3975,0.64625,9.9275,,,,,,,,2017
2017-04-15,0.6439999999999999,0.63375,4.56,0.35,0.385,0.65625,10.0525,,,,,,,,2017
2017-05-15,0.6216666666666667,0.62875,4.775,0.34750000000000003,0.395,0.6537499999999999,10.15,,,,,,,,2017
2017-06-15,0.6439999999999999,0.63125,4.8950000000000005,0.35250000000000004,0.4125,0.66625,10.25375,,,,,,,,2017
2017-07-15,0.6566666666666666,0.62375,5.01125,0.34500000000000003,0.4,0.66,10.525,,,,,,,,2017
2017-08-15,0.6359999999999999,0.625,4.8725000000000005,0.3425,0.39,0.65875,10.5425,,,,,,,,2017
2017-09-15,0.6549999999999999,0.645,4.7675,0.34,0.3775,0.6599999999999999,10.3975,,,,,,,,2017
2017-10-15,0.6699999999999999,0.67,4.88875,0.3425,0.38,0.65625,10.325,,,,,,,,2017
2017-11-15,0.655,0.68125,4.80125,0.34375,0.3825,0.6487499999999999,9.8775,,,,,,,,2017
2017-12-15,0.6585714285714285,0.68,4.1775,0.3425,0.3825,0.64625,9.39375,,,,,,,,2017
2018-01-15,0.6279999999999999,0.67,4.12875,0.34625,0.3825,0.6575,9.25625,,,,,,,,2018
2018-02-15,0.6359999999999999,0.6625,4.08125,0.3425,0.375,0.655,9.252500000000001,,,,,,,,2018
2018-03-15,0.63,0.65625,4.21,0.33375,0.3625,0.64875,9.35375,,,,,,,,2018
2018-04-15,0.626,0.64375,4.5375,0.32875,0.355,0.64375,9.81125,,,,,,,,2018
2018-05-15,0.616,0.65125,4.40875,0.32625000000000004,0.34750000000000003,0.6437499999999999,9.790000000000001,,,,,,,,2018
2018-06-15,0.618,0.66375,4.2975,0.31625000000000003,0.34500000000000003,0.6475,10.0,,,,,,,,2018
2018-07-15,0.6283333333333333,0.67,4.2,0.3125,0.3525,0.64625,9.87125,,,,,,,,2018
