Year,Military Expenditure,Health Expenditure
2021,10.5026598533092,3.96101093
2020,4.97282537449934,4.24602795
2019,4.27573619654266,1.77526009
2018,3.72485527466578,1.90904689
2017,3.65259208973618,2.31911564
2016,3.6802510519657,2.14110541
2015,3.83314218682084,2.01440597
2014,5.10979266008033,1.86067402
2013,4.31176435442433,1.77506959
2012,4.696372864714,1.37000275
2011,8.30276004557373,2.18811917
2010,9.35459613289025,2.2567358
2009,9.86038937465642,2.51478314
2008,11.1654087876017,3.00392056
2007,11.9484046164291,2.61078191
2006,10.3603817107467,2.7260592
2005,12.6897579454611,3.38122058
2004,16.134336001725,3.60296822
