YEAR;MONTH;DAY;FATALITIES;CENTROID_LATITUDE;CENTROID_LONGITUDE
2016;12;31;[15, 93, 2, 0, 6, 126, 8, 115, 17, 6, 0, 5, 3, 10, 4, 3, 7, 29, 16, 2, 5, 9, 10, 0, 4];['36,966', '35,2572', '35,79', '36,5288', '32,4966', '36,2086', '33,1547', '31,3969', '34,239', '36,7115', '34,5253', '31,0757', '34,9093', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '30,8409', '32,5116', '35,0024', '35,7152', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '69,109', '66,9116', '62,41', '64,7689', '67,7536', '64,0428', '62,0679', '65,9384', '69,3433', '65,6926', '69,7471', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '62,4753', '68,6546', '68,758', '66,088', '66,0076', '68,16', '67,0193']
2017;1;7;[28, 0, 6, 20, 9, 106, 3, 0, 18, 22, 0, 0, 5, 5, 7, 29, 73, 0, 9, 6, 4, 11, 1];['36,966', '35,2572', '36,5288', '32,4966', '33,1547', '31,3969', '34,239', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '30,8409', '33,6167', '32,5116', '35,7152', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '66,9116', '62,41', '67,7536', '64,0428', '62,0679', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '62,4753', '69,2837', '68,6546', '66,088', '66,0076', '68,16', '67,0193']
2017;1;14;[0, 0, 1, 0, 4, 6, 9, 61, 4, 3, 0, 63, 19, 0, 26, 0, 2, 45, 38, 1, 6, 5, 4, 29, 0, 21];['35,2572', '35,79', '36,5288', '33,6473', '32,4966', '36,2086', '33,1547', '31,3969', '34,239', '36,7115', '34,5253', '31,0757', '34,9093', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '30,8409', '33,6167', '35,9925', '35,7152', '36,6997', '32,8013', '34,2374', '32,2774'];['63,5813', '69,109', '66,9116', '66,3457', '62,41', '64,7689', '67,7536', '64,0428', '62,0679', '65,9384', '69,3433', '65,6926', '69,7471', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '62,4753', '69,2837', '67,7275', '66,088', '69,6309', '66,0076', '68,16', '67,0193']
2017;1;21;[4, 0, 17, 1, 0, 4, 14, 12, 53, 67, 6, 0, 0, 10, 0, 51, 3, 19, 108, 0, 36];['36,966', '35,2572', '35,79', '36,5288', '33,6473', '32,4966', '36,2086', '33,1547', '31,3969', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '34,3726', '33,6167', '35,7152', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '69,109', '66,9116', '66,3457', '62,41', '64,7689', '67,7536', '64,0428', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '70,3664', '69,2837', '66,088', '66,0076', '68,16', '67,0193']
2017;1;28;[10, 6, 16, 9, 255, 6, 2, 0, 38, 6, 0, 2, 16, 0, 0, 51, 6, 3, 1, 12, 3, 0];['35,79', '32,4966', '36,2086', '33,1547', '31,3969', '34,239', '36,7115', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '35,4698', '32,5116', '35,9925', '32,8013', '34,2374', '32,2774'];['69,109', '62,41', '64,7689', '67,7536', '64,0428', '62,0679', '65,9384', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '71,1173', '68,6546', '67,7275', '66,0076', '68,16', '67,0193']
2017;2;4;[4, 4, 0, 0, 0, 0, 25, 2, 3, 5, 5, 0, 0, 45, 4, 0, 20, 0, 20, 5, 0, 13];['36,966', '35,79', '33,6473', '32,4966', '36,2086', '33,1547', '31,3969', '34,239', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '30,8409', '35,4698', '32,5116', '36,6997', '32,8013'];['73,3417', '69,109', '66,3457', '62,41', '64,7689', '67,7536', '64,0428', '62,0679', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '62,4753', '71,1173', '68,6546', '69,6309', '66,0076']
2017;2;11;[41, 0, 0, 0, 17, 29, 26, 5, 0, 0, 17, 4, 5, 0, 0, 116, 0, 9, 6, 24, 0, 6, 1];['36,966', '35,2572', '35,79', '32,4966', '36,2086', '33,1547', '31,3969', '34,239', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '34,8092', '33,9823', '34,3726', '30,8409', '35,4698', '32,5116', '35,7152', '36,6997', '32,8013', '32,2774'];['73,3417', '63,5813', '69,109', '62,41', '64,7689', '67,7536', '64,0428', '62,0679', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '70,2703', '69,1949', '70,3664', '62,4753', '71,1173', '68,6546', '66,088', '69,6309', '66,0076', '67,0193']
2017;2;18;[0, 0, 12, 1, 98, 8, 0, 85, 9, 0, 23, 19, 0, 0, 78, 0, 0, 5, 3, 4, 1, 14, 0, 0];['35,2572', '32,4966', '36,2086', '33,1547', '31,3969', '34,239', '36,7115', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '30,8409', '35,4698', '33,6167', '32,5116', '35,7152', '36,6997', '32,8013', '34,2374', '32,2774'];['63,5813', '62,41', '64,7689', '67,7536', '64,0428', '62,0679', '65,9384', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '62,4753', '71,1173', '69,2837', '68,6546', '66,088', '69,6309', '66,0076', '68,16', '67,0193']
2017;2;25;[10, 5, 6, 15, 70, 42, 83, 2, 41, 13, 25, 6, 1, 0, 6, 86, 51, 77, 0, 2, 0, 0, 8, 16, 0, 17];['35,2572', '35,79', '34,6954', '32,4966', '36,2086', '33,1547', '31,3969', '34,239', '36,7115', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '30,8409', '32,5116', '35,0024', '35,9925', '36,6997', '32,8013', '34,2374', '32,2774'];['63,5813', '69,109', '67,3383', '62,41', '64,7689', '67,7536', '64,0428', '62,0679', '65,9384', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '62,4753', '68,6546', '68,758', '67,7275', '69,6309', '66,0076', '68,16', '67,0193']
2017;3;4;[8, 16, 14, 19, 33, 4, 1, 0, 57, 41, 0, 0, 0, 19, 7, 10, 136, 0, 0, 1, 2, 0, 21, 1, 0, 13];['35,2572', '35,79', '32,4966', '36,2086', '33,1547', '31,3969', '34,239', '36,7115', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '35,4698', '33,6167', '32,5116', '35,0024', '35,9925', '36,6997', '32,8013', '34,2374', '32,2774'];['63,5813', '69,109', '62,41', '64,7689', '67,7536', '64,0428', '62,0679', '65,9384', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '71,1173', '69,2837', '68,6546', '68,758', '67,7275', '69,6309', '66,0076', '68,16', '67,0193']
