;WEEK;ADMIN1;FATALITIES;CENTROID_LATITUDE;CENTROID_LONGITUDE;YEAR;MONTH;DAY
0;31-dicembre-2016;Badakhshan;15;36,966;73,3417;2016;12;31
1;07-gennaio-2017;Badakhshan;28;36,966;73,3417;2017;1;7
2;21-gennaio-2017;Badakhshan;4;36,966;73,3417;2017;1;21
3;04-febbraio-2017;Badakhshan;4;36,966;73,3417;2017;2;4
4;11-febbraio-2017;Badakhshan;41;36,966;73,3417;2017;2;11
5;25-marzo-2017;Badakhshan;2;36,966;73,3417;2017;3;25
6;01-aprile-2017;Badakhshan;0;36,966;73,3417;2017;4;1
7;08-aprile-2017;Badakhshan;12;36,966;73,3417;2017;4;8
8;22-aprile-2017;Badakhshan;2;36,966;73,3417;2017;4;22
9;29-aprile-2017;Badakhshan;80;36,966;73,3417;2017;4;29
10;06-maggio-2017;Badakhshan;121;36,966;73,3417;2017;5;6
11;13-maggio-2017;Badakhshan;0;36,966;73,3417;2017;5;13
12;20-maggio-2017;Badakhshan;10;36,966;73,3417;2017;5;20
13;27-maggio-2017;Badakhshan;0;36,966;73,3417;2017;5;27
14;03-giugno-2017;Badakhshan;22;36,966;73,3417;2017;6;3
15;10-giugno-2017;Badakhshan;1;36,966;73,3417;2017;6;10
16;17-giugno-2017;Badakhshan;4;36,966;73,3417;2017;6;17
17;24-giugno-2017;Badakhshan;6;36,966;73,3417;2017;6;24
18;15-luglio-2017;Badakhshan;70;36,966;73,3417;2017;7;15
19;22-luglio-2017;Badakhshan;71;36,966;73,3417;2017;7;22
20;29-luglio-2017;Badakhshan;11;36,966;73,3417;2017;7;29
21;05-agosto-2017;Badakhshan;24;36,966;73,3417;2017;8;5
22;12-agosto-2017;Badakhshan;13;36,966;73,3417;2017;8;12
23;19-agosto-2017;Badakhshan;0;36,966;73,3417;2017;8;19
24;09-settembre-2017;Badakhshan;0;36,966;73,3417;2017;9;9
25;16-settembre-2017;Badakhshan;18;36,966;73,3417;2017;9;16
26;23-settembre-2017;Badakhshan;0;36,966;73,3417;2017;9;23
27;30-settembre-2017;Badakhshan;6;36,966;73,3417;2017;9;30
28;07-ottobre-2017;Badakhshan;34;36,966;73,3417;2017;10;7
29;14-ottobre-2017;Badakhshan;0;36,966;73,3417;2017;10;14
30;21-ottobre-2017;Badakhshan;3;36,966;73,3417;2017;10;21
31;11-novembre-2017;Badakhshan;0;36,966;73,3417;2017;11;11
32;25-novembre-2017;Badakhshan;0;36,966;73,3417;2017;11;25
33;13-gennaio-2018;Badakhshan;10;36,966;73,3417;2018;1;13
34;10-febbraio-2018;Badakhshan;9;36,966;73,3417;2018;2;10
35;24-marzo-2018;Badakhshan;5;36,966;73,3417;2018;3;24
36;31-marzo-2018;Badakhshan;12;36,966;73,3417;2018;3;31
37;07-aprile-2018;Badakhshan;0;36,966;73,3417;2018;4;7
38;14-aprile-2018;Badakhshan;1;36,966;73,3417;2018;4;14
39;21-aprile-2018;Badakhshan;0;36,966;73,3417;2018;4;21
40;28-aprile-2018;Badakhshan;93;36,966;73,3417;2018;4;28
41;05-maggio-2018;Badakhshan;32;36,966;73,3417;2018;5;5
42;12-maggio-2018;Badakhshan;15;36,966;73,3417;2018;5;12
43;19-maggio-2018;Badakhshan;0;36,966;73,3417;2018;5;19
44;26-maggio-2018;Badakhshan;41;36,966;73,3417;2018;5;26
45;02-giugno-2018;Badakhshan;14;36,966;73,3417;2018;6;2
46;09-giugno-2018;Badakhshan;33;36,966;73,3417;2018;6;9
47;16-giugno-2018;Badakhshan;31;36,966;73,3417;2018;6;16
48;30-giugno-2018;Badakhshan;9;36,966;73,3417;2018;6;30
49;07-luglio-2018;Badakhshan;4;36,966;73,3417;2018;7;7
50;14-luglio-2018;Badakhshan;106;36,966;73,3417;2018;7;14
51;04-agosto-2018;Badakhshan;4;36,966;73,3417;2018;8;4
52;11-agosto-2018;Badakhshan;5;36,966;73,3417;2018;8;11
53;18-agosto-2018;Badakhshan;5;36,966;73,3417;2018;8;18
54;25-agosto-2018;Badakhshan;6;36,966;73,3417;2018;8;25
55;01-settembre-2018;Badakhshan;6;36,966;73,3417;2018;9;1
56;08-settembre-2018;Badakhshan;7;36,966;73,3417;2018;9;8
57;15-settembre-2018;Badakhshan;0;36,966;73,3417;2018;9;15
58;22-settembre-2018;Badakhshan;0;36,966;73,3417;2018;9;22
59;29-settembre-2018;Badakhshan;21;36,966;73,3417;2018;9;29
60;06-ottobre-2018;Badakhshan;0;36,966;73,3417;2018;10;6
61;13-ottobre-2018;Badakhshan;0;36,966;73,3417;2018;10;13
62;20-ottobre-2018;Badakhshan;26;36,966;73,3417;2018;10;20
63;27-ottobre-2018;Badakhshan;23;36,966;73,3417;2018;10;27
64;03-novembre-2018;Badakhshan;24;36,966;73,3417;2018;11;3
65;01-dicembre-2018;Badakhshan;0;36,966;73,3417;2018;12;1
66;08-dicembre-2018;Badakhshan;10;36,966;73,3417;2018;12;8
67;15-dicembre-2018;Badakhshan;0;36,966;73,3417;2018;12;15
68;22-dicembre-2018;Badakhshan;0;36,966;73,3417;2018;12;22
69;29-dicembre-2018;Badakhshan;8;36,966;73,3417;2018;12;29
70;26-gennaio-2019;Badakhshan;0;36,966;73,3417;2019;1;26
71;23-febbraio-2019;Badakhshan;2;36,966;73,3417;2019;2;23
72;02-marzo-2019;Badakhshan;8;36,966;73,3417;2019;3;2
73;23-marzo-2019;Badakhshan;0;36,966;73,3417;2019;3;23
74;30-marzo-2019;Badakhshan;0;36,966;73,3417;2019;3;30
75;06-aprile-2019;Badakhshan;0;36,966;73,3417;2019;4;6
76;13-aprile-2019;Badakhshan;31;36,966;73,3417;2019;4;13
77;20-aprile-2019;Badakhshan;17;36,966;73,3417;2019;4;20
78;27-aprile-2019;Badakhshan;0;36,966;73,3417;2019;4;27
79;04-maggio-2019;Badakhshan;2;36,966;73,3417;2019;5;4
80;11-maggio-2019;Badakhshan;0;36,966;73,3417;2019;5;11
81;15-giugno-2019;Badakhshan;5;36,966;73,3417;2019;6;15
82;22-giugno-2019;Badakhshan;0;36,966;73,3417;2019;6;22
83;29-giugno-2019;Badakhshan;2;36,966;73,3417;2019;6;29
84;06-luglio-2019;Badakhshan;4;36,966;73,3417;2019;7;6
85;13-luglio-2019;Badakhshan;14;36,966;73,3417;2019;7;13
86;20-luglio-2019;Badakhshan;4;36,966;73,3417;2019;7;20
87;27-luglio-2019;Badakhshan;5;36,966;73,3417;2019;7;27
88;03-agosto-2019;Badakhshan;0;36,966;73,3417;2019;8;3
89;10-agosto-2019;Badakhshan;0;36,966;73,3417;2019;8;10
90;17-agosto-2019;Badakhshan;0;36,966;73,3417;2019;8;17
91;24-agosto-2019;Badakhshan;11;36,966;73,3417;2019;8;24
92;31-agosto-2019;Badakhshan;27;36,966;73,3417;2019;8;31
93;07-settembre-2019;Badakhshan;95;36,966;73,3417;2019;9;7
94;14-settembre-2019;Badakhshan;6;36,966;73,3417;2019;9;14
95;21-settembre-2019;Badakhshan;2;36,966;73,3417;2019;9;21
96;28-settembre-2019;Badakhshan;0;36,966;73,3417;2019;9;28
97;05-ottobre-2019;Badakhshan;1;36,966;73,3417;2019;10;5
98;12-ottobre-2019;Badakhshan;13;36,966;73,3417;2019;10;12
99;19-ottobre-2019;Badakhshan;0;36,966;73,3417;2019;10;19
100;26-ottobre-2019;Badakhshan;0;36,966;73,3417;2019;10;26
101;02-novembre-2019;Badakhshan;0;36,966;73,3417;2019;11;2
102;09-novembre-2019;Badakhshan;0;36,966;73,3417;2019;11;9
103;16-novembre-2019;Badakhshan;0;36,966;73,3417;2019;11;16
104;23-novembre-2019;Badakhshan;0;36,966;73,3417;2019;11;23
105;07-dicembre-2019;Badakhshan;0;36,966;73,3417;2019;12;7
106;14-dicembre-2019;Badakhshan;0;36,966;73,3417;2019;12;14
