year,origin_location_code,asylum_location_code,age_range,population
2001,AFG,ARE,0-4,0
2001,AFG,ARE,12-17,12
2001,AFG,ARE,18-59,5
2001,AFG,ARE,5-11,5
2001,AFG,ARE,60+,0
2001,AFG,ARE,all,44
2001,AFG,AUS,0-4,0
2001,AFG,AUS,12-17,0
2001,AFG,AUS,18-59,0
2001,AFG,AUS,5-11,0
2001,AFG,AUS,60+,0
2001,AFG,AUS,all,6714
2001,AFG,AUT,0-4,0
2001,AFG,AUT,12-17,0
2001,AFG,AUT,18-59,0
2001,AFG,AUT,5-11,0
2001,AFG,AUT,60+,0
2001,AFG,AUT,all,1049
2001,AFG,AZE,0-4,100
2001,AFG,AZE,12-17,164
2001,AFG,AZE,18-59,699
2001,AFG,AZE,5-11,193
2001,AFG,AZE,60+,18
2001,AFG,AZE,all,2348
2001,AFG,BEL,0-4,0
2001,AFG,BEL,12-17,0
2001,AFG,BEL,18-59,0
2001,AFG,BEL,5-11,0
2001,AFG,BEL,60+,0
2001,AFG,BEL,all,714
2001,AFG,BGR,0-4,0
2001,AFG,BGR,12-17,71
2001,AFG,BGR,18-59,471
2001,AFG,BGR,5-11,81
2001,AFG,BGR,60+,0
2001,AFG,BGR,all,2811
2001,AFG,BLR,0-4,28
2001,AFG,BLR,12-17,112
2001,AFG,BLR,18-59,404
2001,AFG,BLR,5-11,112
2001,AFG,BLR,60+,11
2001,AFG,BLR,all,1334
2001,AFG,BRA,0-4,0
2001,AFG,BRA,12-17,0
2001,AFG,BRA,18-59,0
2001,AFG,BRA,5-11,0
2001,AFG,BRA,60+,0
2001,AFG,BRA,all,5
2001,AFG,CAN,0-4,0
2001,AFG,CAN,12-17,0
2001,AFG,CAN,18-59,0
2001,AFG,CAN,5-11,0
2001,AFG,CAN,60+,0
2001,AFG,CAN,all,11777
2001,AFG,CHE,0-4,73
2001,AFG,CHE,12-17,86
2001,AFG,CHE,18-59,434
2001,AFG,CHE,5-11,101
2001,AFG,CHE,60+,9
2001,AFG,CHE,all,4324
2001,AFG,CHL,0-4,0
2001,AFG,CHL,12-17,0
2001,AFG,CHL,18-59,5
2001,AFG,CHL,5-11,0
2001,AFG,CHL,60+,0
2001,AFG,CHL,all,10
2001,AFG,CIV,0-4,0
2001,AFG,CIV,12-17,0
2001,AFG,CIV,18-59,11
2001,AFG,CIV,5-11,0
2001,AFG,CIV,60+,0
2001,AFG,CIV,all,22
2001,AFG,CUB,0-4,0
2001,AFG,CUB,12-17,6
2001,AFG,CUB,18-59,12
2001,AFG,CUB,5-11,8
2001,AFG,CUB,60+,0
2001,AFG,CUB,all,52
2001,AFG,CYP,0-4,0
2001,AFG,CYP,12-17,0
2001,AFG,CYP,18-59,5
2001,AFG,CYP,5-11,0
2001,AFG,CYP,60+,0
2001,AFG,CYP,all,21
2001,AFG,CZE,0-4,0
2001,AFG,CZE,12-17,0
2001,AFG,CZE,18-59,0
2001,AFG,CZE,5-11,0
2001,AFG,CZE,60+,0
2001,AFG,CZE,all,332
2001,AFG,DEU,0-4,0
2001,AFG,DEU,12-17,0
2001,AFG,DEU,18-59,0
2001,AFG,DEU,5-11,0
2001,AFG,DEU,60+,0
2001,AFG,DEU,all,10057
2001,AFG,DNK,0-4,0
2001,AFG,DNK,12-17,0
2001,AFG,DNK,18-59,0
2001,AFG,DNK,5-11,0
2001,AFG,DNK,60+,0
2001,AFG,DNK,all,5635
2001,AFG,ECU,0-4,0
2001,AFG,ECU,12-17,0
2001,AFG,ECU,18-59,0
2001,AFG,ECU,5-11,0
2001,AFG,ECU,60+,0
2001,AFG,ECU,all,28
2001,AFG,EGY,0-4,5
2001,AFG,EGY,12-17,9
2001,AFG,EGY,18-59,52
2001,AFG,EGY,5-11,0
2001,AFG,EGY,60+,0
2001,AFG,EGY,all,174
2001,AFG,ESP,0-4,0
2001,AFG,ESP,12-17,0
2001,AFG,ESP,18-59,0
2001,AFG,ESP,5-11,0
2001,AFG,ESP,60+,0
2001,AFG,ESP,all,145
2001,AFG,EST,0-4,0
2001,AFG,EST,12-17,0
2001,AFG,EST,18-59,0
2001,AFG,EST,5-11,6
2001,AFG,EST,60+,0
2001,AFG,EST,all,12
2001,AFG,ETH,0-4,5
2001,AFG,ETH,12-17,0
2001,AFG,ETH,18-59,0
2001,AFG,ETH,5-11,0
2001,AFG,ETH,60+,0
2001,AFG,ETH,all,10
2001,AFG,FIN,0-4,0
2001,AFG,FIN,12-17,0
2001,AFG,FIN,18-59,0
2001,AFG,FIN,5-11,0
2001,AFG,FIN,60+,0
2001,AFG,FIN,all,661
2001,AFG,FRA,0-4,0
2001,AFG,FRA,12-17,0
2001,AFG,FRA,18-59,0
2001,AFG,FRA,5-11,0
2001,AFG,FRA,60+,0
2001,AFG,FRA,all,2568
2001,AFG,GBR,0-4,0
2001,AFG,GBR,12-17,0
2001,AFG,GBR,18-59,0
2001,AFG,GBR,5-11,0
2001,AFG,GBR,60+,0
2001,AFG,GBR,all,15065
2001,AFG,GEO,0-4,0
2001,AFG,GEO,12-17,0
2001,AFG,GEO,18-59,0
2001,AFG,GEO,5-11,5
2001,AFG,GEO,60+,0
2001,AFG,GEO,all,10
2001,AFG,GRC,0-4,0
2001,AFG,GRC,12-17,0
2001,AFG,GRC,18-59,0
2001,AFG,GRC,5-11,0
2001,AFG,GRC,60+,0
2001,AFG,GRC,all,1751
2001,AFG,HKG,0-4,0
2001,AFG,HKG,12-17,0
2001,AFG,HKG,18-59,5
2001,AFG,HKG,5-11,0
2001,AFG,HKG,60+,0
2001,AFG,HKG,all,10
2001,AFG,HUN,0-4,0
2001,AFG,HUN,12-17,0
2001,AFG,HUN,18-59,0
2001,AFG,HUN,5-11,0
2001,AFG,HUN,60+,0
2001,AFG,HUN,all,1686
2001,AFG,IDN,0-4,32
2001,AFG,IDN,12-17,36
2001,AFG,IDN,18-59,381
2001,AFG,IDN,5-11,42
2001,AFG,IDN,60+,0
2001,AFG,IDN,all,982
2001,AFG,IND,0-4,433
2001,AFG,IND,12-17,2090
2001,AFG,IND,18-59,6350
2001,AFG,IND,5-11,2439
2001,AFG,IND,60+,660
2001,AFG,IND,all,24072
2001,AFG,IRL,0-4,0
2001,AFG,IRL,12-17,0
2001,AFG,IRL,18-59,0
