year,origin_location_code,asylum_location_code,population
2001,AFG,ARE,66
2001,AFG,AUS,6714
2001,AFG,AUT,1049
2001,AFG,AZE,3522
2001,AFG,BEL,714
2001,AFG,BGR,3434
2001,AFG,BLR,2001
2001,AFG,BRA,5
2001,AFG,CAN,11777
2001,AFG,CHE,5027
2001,AFG,CHL,15
2001,AFG,CIV,33
2001,AFG,CUB,78
2001,AFG,CYP,26
2001,AFG,CZE,332
2001,AFG,DEU,10057
2001,AFG,DNK,5635
2001,AFG,ECU,28
2001,AFG,EGY,240
2001,AFG,ESP,145
2001,AFG,EST,18
2001,AFG,ETH,15
2001,AFG,FIN,661
2001,AFG,FRA,2568
2001,AFG,GBR,15065
2001,AFG,GEO,15
2001,AFG,GRC,1751
2001,AFG,HKG,15
2001,AFG,HUN,1686
2001,AFG,IDN,1473
2001,AFG,IND,36044
2001,AFG,IRL,41
2001,AFG,IRN,4446000
2001,AFG,ITA,149
2001,AFG,JPN,258
2001,AFG,KAZ,2363
2001,AFG,KGZ,2864
2001,AFG,KHM,51
2001,AFG,KWT,222
2001,AFG,LBN,144
2001,AFG,LKA,39
2001,AFG,LTU,235
2001,AFG,MAR,8
2001,AFG,MDA,42
2001,AFG,MEX,27
2001,AFG,MLT,8
2001,AFG,MYS,276
2001,AFG,NLD,33918
2001,AFG,NOR,1799
2001,AFG,NZL,434
2001,AFG,OMN,48
2001,AFG,PAK,5215889
2001,AFG,POL,64
2001,AFG,PRT,5
2001,AFG,QAT,120
2001,AFG,ROU,573
2001,AFG,RUS,101160
2001,AFG,SAU,576
2001,AFG,SRB,39
2001,AFG,SVK,1791
2001,AFG,SVN,16
2001,AFG,SWE,2732
2001,AFG,SYR,1232
2001,AFG,THA,62
2001,AFG,TJK,35228
2001,AFG,TKM,3208
2001,AFG,TUR,1239
2001,AFG,UKR,4977
2001,AFG,USA,7756
2001,AFG,UZB,18655
2001,AFG,ZAF,15
2001,AFG,ZWE,246
2001,IRN,AFG,15
2001,IRQ,AFG,15
2002,AFG,ARE,66
2002,AFG,AUS,7071
2002,AFG,AUT,1270
2002,AFG,AZE,3528
2002,AFG,BEL,248
2002,AFG,BGR,2804
2002,AFG,BLR,1940
2002,AFG,BRA,24
2002,AFG,CAN,13262
2002,AFG,CHE,4403
2002,AFG,CHL,15
2002,AFG,CHN,24
2002,AFG,CIV,33
2002,AFG,CUB,72
2002,AFG,CYP,34
2002,AFG,CZE,263
2002,AFG,DEU,64363
2002,AFG,DNK,7203
2002,AFG,ECU,29
2002,AFG,EGY,129
2002,AFG,ESP,145
2002,AFG,EST,18
2002,AFG,ETH,15
2002,AFG,FIN,932
2002,AFG,FRA,2512
2002,AFG,GBR,20305
2002,AFG,GEO,15
2002,AFG,GRC,1284
2002,AFG,HKG,15
2002,AFG,HRV,15
2002,AFG,HUN,1571
2002,AFG,IDN,585
2002,AFG,IND,34243
2002,AFG,IRL,41
2002,AFG,IRN,1104909
2002,AFG,ITA,183
2002,AFG,JOR,18
2002,AFG,JPN,222
2002,AFG,KAZ,4500
2002,AFG,KGZ,2717
2002,AFG,KHM,45
2002,AFG,KWT,339
2002,AFG,LBN,141
2002,AFG,LKA,39
2002,AFG,LTU,275
2002,AFG,MAR,8
2002,AFG,MDA,36
2002,AFG,MEX,21
2002,AFG,MLT,8
2002,AFG,MYS,121
2002,AFG,NLD,31707
2002,AFG,NOR,2284
2002,AFG,NZL,562
2002,AFG,OMN,48
2002,AFG,PAK,3679707
2002,AFG,POL,317
2002,AFG,PRT,5
2002,AFG,QAT,120
2002,AFG,ROU,295
2002,AFG,RUS,102034
2002,AFG,SAU,413
2002,AFG,SRB,20
2002,AFG,SVK,735
2002,AFG,SWE,3713
2002,AFG,SYR,1284
2002,AFG,THA,47
2002,AFG,TJK,7582
2002,AFG,TKM,3789
2002,AFG,TUR,389
2002,AFG,UKR,4716
2002,AFG,USA,9227
2002,AFG,UZB,14118
2002,AFG,ZAF,22
2002,AFG,ZWE,246
2002,IRN,AFG,12
2002,IRQ,AFG,6
2003,AFG,ARE,18
2003,AFG,AUS,7619
2003,AFG,AUT,1595
2003,AFG,AZE,3288
2003,AFG,BEL,913
2003,AFG,BGR,2825
2003,AFG,BLR,1835
2003,AFG,BRA,11
2003,AFG,CAN,14791
2003,AFG,CHE,2764
2003,AFG,CHL,17
2003,AFG,CHN,24
2003,AFG,CIV,34
2003,AFG,CUB,69
2003,AFG,CYP,83
2003,AFG,CZE,263
2003,AFG,DEU,49504
2003,AFG,DNK,6668
2003,AFG,ECU,34
2003,AFG,EGY,105
2003,AFG,ESP,94
2003,AFG,EST,18
2003,AFG,ETH,15
2003,AFG,FIN,1101
2003,AFG,FRA,2334
2003,AFG,GBR,21718
2003,AFG,GEO,15
2003,AFG,GRC,1479
2003,AFG,HKG,15
2003,AFG,HUN,1791
2003,AFG,IDN,252
2003,AFG,IND,30937
2003,AFG,IRL,58
2003,AFG,IRN,2493221
2003,AFG,ITA,186
2003,AFG,JPN,142
2003,AFG,KAZ,1971
2003,AFG,KGZ,757
2003,AFG,KHM,39
2003,AFG,KWT,342
2003,AFG,LBN,147
2003,AFG,LKA,51
2003,AFG,LTU,105
2003,AFG,MAR,8
2003,AFG,MDA,30
2003,AFG,MLT,8
2003,AFG,MYS,60
2003,AFG,NLD,30145
2003,AFG,NOR,3309
2003,AFG,NZL,629
2003,AFG,OMN,48
2003,AFG,PAK,3383700
2003,AFG,POL,335
2003,AFG,PRT,5
2003,AFG,QAT,120
2003,AFG,ROU,303
2003,AFG,RUS,101775
2003,AFG,SAU,366
2003,AFG,SRB,7
2003,AFG,SVK,634
2003,AFG,SWE,4302
2003,AFG,SYR,1275
2003,AFG,TCD,14
2003,AFG,THA,36
2003,AFG,TJK,7057
2003,AFG,TKM,3672
2003,AFG,TUR,381
2003,AFG,UKR,4952
2003,AFG,USA,9821
2003,AFG,UZB,13136
2003,AFG,ZAF,37
2003,AFG,ZWE,246
2003,CHN,AFG,10
2003,IRN,AFG,120
2003,IRQ,AFG,60
2004,AFG,AUS,8326
2004,AFG,AUT,2482
2004,AFG,AZE,2697
2004,AFG,BEL,620
2004,AFG,BGR,2333
2004,AFG,BLR,1707
2004,AFG,BRA,33
2004,AFG,CAN,15395
2004,AFG,CHE,4191
2004,AFG,CHL,45
2004,AFG,CHN,21
2004,AFG,CIV,33
2004,AFG,CUB,51
2004,AFG,CYP,162
2004,AFG,CZE,259
2004,AFG,DEU,39081
2004,AFG,DNK,6596
2004,AFG,ECU,29
2004,AFG,EGY,105
2004,AFG,ESP,88
2004,AFG,EST,18
2004,AFG,ETH,15
2004,AFG,FIN,1342
2004,AFG,FRA,1220
2004,AFG,GBR,22494
2004,AFG,GEO,5
2004,AFG,GRC,1790
2004,AFG,HKG,5
2004,AFG,HUN,2502
2004,AFG,IDN,221
2004,AFG,IND,29353
2004,AFG,IRL,153
2004,AFG,IRN,2858478
2004,AFG,ISL,5
2004,AFG,ITA,242
2004,AFG,JPN,151
2004,AFG,KAZ,2010
2004,AFG,KGZ,1158
2004,AFG,KHM,21
2004,AFG,KWT,345
2004,AFG,LBN,93
2004,AFG,LKA,45
2004,AFG,LTU,99
2004,AFG,MDA,30
2004,AFG,MLT,8
2004,AFG,MYS,105
2004,AFG,NLD,28695
2004,AFG,NOR,3693
2004,AFG,NZL,1148
2004,AFG,OMN,48
2004,AFG,PAK,3217654
2004,AFG,POL,107
2004,AFG,PRT,5
2004,AFG,QAT,120
2004,AFG,ROU,316
2004,AFG,RUS,101741
2004,AFG,SAU,24
2004,AFG,SVK,476
2004,AFG,SWE,5075
2004,AFG,SYR,1242
2004,AFG,THA,15
2004,AFG,TJK,1816
2004,AFG,TKM,3090
2004,AFG,TUR,1182
2004,AFG,UKR,4213
2004,AFG,USA,9923
2004,AFG,UZB,11128
2004,AFG,ZAF,37
2004,AFG,ZWE,66
2004,IRN,AFG,93
2004,IRQ,AFG,5
2005,AFG,AUS,8112
2005,AFG,AUT,2991
2005,AFG,AZE,1208
2005,AFG,BEL,487
2005,AFG,BGR,3090
2005,AFG,BLR,1638
2005,AFG,BRA,18
2005,AFG,CAN,16207
2005,AFG,CHE,4041
2005,AFG,CHL,48
2005,AFG,CHN,21
2005,AFG,CIV,51
2005,AFG,CUB,27
2005,AFG,CYP,164
2005,AFG,CZE,246
2005,AFG,DEU,36136
2005,AFG,DNK,6461
2005,AFG,ECU,29
2005,AFG,EGY,93
2005,AFG,ESP,87
2005,AFG,FIN,1604
2005,AFG,FRA,2456
2005,AFG,GBR,22532
2005,AFG,GEO,15
2005,AFG,GRC,1858
2005,AFG,HUN,2385
2005,AFG,IDN,234
2005,AFG,IND,29160
2005,AFG,IRL,77
2005,AFG,IRN,2760912
2005,AFG,ITA,302
2005,AFG,JPN,141
2005,AFG,KAZ,2280
2005,AFG,KGZ,1104
2005,AFG,KWT,375
2005,AFG,LBN,39
2005,AFG,LKA,15
2005,AFG,LTU,101
2005,AFG,MDA,39
2005,AFG,MLT,8
2005,AFG,MYS,252
2005,AFG,NLD,26564
2005,AFG,NOR,4052
2005,AFG,NZL,1266
2005,AFG,PAK,2171181
2005,AFG,POL,87
2005,AFG,PRT,5
2005,AFG,QAT,120
2005,AFG,ROU,306
2005,AFG,RUS,101519
