year,origin_location_code,asylum_location_code,gender,population
2001,AFG,ARE,all,44
2001,AFG,ARE,f,12
2001,AFG,ARE,m,32
2001,AFG,AUS,all,6714
2001,AFG,AUS,f,0
2001,AFG,AUS,m,0
2001,AFG,AUT,all,1049
2001,AFG,AUT,f,0
2001,AFG,AUT,m,0
2001,AFG,AZE,all,2348
2001,AFG,AZE,f,668
2001,AFG,AZE,m,1680
2001,AFG,BEL,all,357
2001,AFG,BEL,f,144
2001,AFG,BEL,m,213
2001,AFG,BGR,all,2188
2001,AFG,BGR,f,300
2001,AFG,BGR,m,946
2001,AFG,BLR,all,1334
2001,AFG,BLR,f,526
2001,AFG,BLR,m,808
2001,AFG,BRA,all,5
2001,AFG,BRA,f,0
2001,AFG,BRA,m,0
2001,AFG,CAN,all,11777
2001,AFG,CAN,f,0
2001,AFG,CAN,m,0
2001,AFG,CHE,all,2852
2001,AFG,CHE,f,1085
2001,AFG,CHE,m,1767
2001,AFG,CHL,all,10
2001,AFG,CHL,f,0
2001,AFG,CHL,m,10
2001,AFG,CIV,all,22
2001,AFG,CIV,f,12
2001,AFG,CIV,m,10
2001,AFG,CUB,all,52
2001,AFG,CUB,f,16
2001,AFG,CUB,m,36
2001,AFG,CYP,all,16
2001,AFG,CYP,f,0
2001,AFG,CYP,m,10
2001,AFG,CZE,all,332
2001,AFG,CZE,f,0
2001,AFG,CZE,m,0
2001,AFG,DEU,all,10057
2001,AFG,DEU,f,0
2001,AFG,DEU,m,0
2001,AFG,DNK,all,5635
2001,AFG,DNK,f,0
2001,AFG,DNK,m,0
2001,AFG,ECU,all,28
2001,AFG,ECU,f,0
2001,AFG,ECU,m,0
2001,AFG,EGY,all,153
2001,AFG,EGY,f,33
2001,AFG,EGY,m,120
2001,AFG,ESP,all,145
2001,AFG,ESP,f,0
2001,AFG,ESP,m,0
2001,AFG,EST,all,12
2001,AFG,EST,f,12
2001,AFG,EST,m,0
2001,AFG,ETH,all,10
2001,AFG,ETH,f,10
2001,AFG,ETH,m,0
2001,AFG,FIN,all,661
2001,AFG,FIN,f,0
2001,AFG,FIN,m,0
2001,AFG,FRA,all,1284
2001,AFG,FRA,f,578
2001,AFG,FRA,m,706
2001,AFG,GBR,all,15065
2001,AFG,GBR,f,0
2001,AFG,GBR,m,0
2001,AFG,GEO,all,10
2001,AFG,GEO,f,0
2001,AFG,GEO,m,10
2001,AFG,GRC,all,1751
2001,AFG,GRC,f,0
2001,AFG,GRC,m,0
2001,AFG,HKG,all,10
2001,AFG,HKG,f,0
2001,AFG,HKG,m,10
2001,AFG,HUN,all,1686
2001,AFG,HUN,f,0
2001,AFG,HUN,m,0
2001,AFG,IDN,all,982
2001,AFG,IDN,f,166
2001,AFG,IDN,m,816
2001,AFG,IND,all,23944
2001,AFG,IND,f,12394
2001,AFG,IND,m,11550
2001,AFG,IRL,all,41
2001,AFG,IRL,f,0
2001,AFG,IRL,m,0
2001,AFG,IRN,all,2964000
2001,AFG,IRN,f,1139066
2001,AFG,IRN,m,1824934
2001,AFG,ITA,all,149
2001,AFG,ITA,f,0
2001,AFG,ITA,m,0
2001,AFG,JPN,all,129
2001,AFG,JPN,f,20
2001,AFG,JPN,m,109
2001,AFG,KAZ,all,2363
2001,AFG,KAZ,f,0
2001,AFG,KAZ,m,0
2001,AFG,KGZ,all,1844
2001,AFG,KGZ,f,934
2001,AFG,KGZ,m,910
2001,AFG,KHM,all,34
2001,AFG,KHM,f,10
2001,AFG,KHM,m,24
2001,AFG,KWT,all,148
2001,AFG,KWT,f,66
2001,AFG,KWT,m,82
2001,AFG,LBN,all,96
2001,AFG,LBN,f,28
2001,AFG,LBN,m,68
2001,AFG,LKA,all,26
2001,AFG,LKA,f,12
2001,AFG,LKA,m,14
2001,AFG,LTU,all,119
2001,AFG,LTU,f,10
2001,AFG,LTU,m,106
2001,AFG,MAR,all,8
2001,AFG,MAR,f,0
2001,AFG,MAR,m,0
