asylum_location_code,gender,age_range,population,year
AFG,f,0-4,8751,2020
AFG,f,5-11,8775,2020
AFG,f,12-17,5828,2020
AFG,f,18-59,18958,2020
AFG,f,60+,587,2020
AFG,m,0-4,8814,2020
AFG,m,5-11,5017,2020
AFG,m,12-17,4785,2020
AFG,m,18-59,19273,2020
AFG,m,60+,1807,2020
ALB,f,0-4,0,2020
ALB,f,5-11,5,2020
ALB,f,12-17,0,2020
ALB,f,18-59,0,2020
ALB,f,60+,0,2020
ALB,m,0-4,0,2020
ALB,m,5-11,0,2020
ALB,m,12-17,0,2020
ALB,m,18-59,0,2020
ALB,m,60+,0,2020
ARE,f,0-4,0,2020
ARE,f,5-11,5,2020
ARE,f,12-17,0,2020
ARE,f,18-59,6,2020
ARE,f,60+,0,2020
ARE,m,0-4,0,2020
ARE,m,5-11,0,2020
ARE,m,12-17,0,2020
ARE,m,18-59,14,2020
ARE,m,60+,0,2020
ARE,f,0-4,0,2020
ARE,f,5-11,0,2020
ARE,f,12-17,5,2020
ARE,f,18-59,0,2020
ARE,f,60+,0,2020
ARE,m,0-4,0,2020
ARE,m,5-11,0,2020
ARE,m,12-17,0,2020
ARE,m,18-59,0,2020
ARE,m,60+,0,2020
ARG,f,0-4,0,2020
ARG,f,5-11,0,2020
ARG,f,12-17,0,2020
ARG,f,18-59,5,2020
ARG,f,60+,0,2020
ARG,m,0-4,0,2020
ARG,m,5-11,0,2020
ARG,m,12-17,0,2020
ARG,m,18-59,7,2020
ARG,m,60+,0,2020
ARM,f,0-4,0,2020
ARM,f,5-11,0,2020
ARM,f,12-17,0,2020
ARM,f,18-59,0,2020
ARM,f,60+,0,2020
ARM,m,0-4,0,2020
ARM,m,5-11,0,2020
ARM,m,12-17,0,2020
ARM,m,18-59,5,2020
ARM,m,60+,0,2020
AUS,f,0-4,0,2020
AUS,f,5-11,0,2020
AUS,f,12-17,0,2020
AUS,f,18-59,0,2020
AUS,f,60+,0,2020
AUS,m,0-4,0,2020
AUS,m,5-11,0,2020
AUS,m,12-17,0,2020
AUS,m,18-59,0,2020
AUS,m,60+,0,2020
AUS,f,0-4,0,2020
AUS,f,5-11,0,2020
AUS,f,12-17,0,2020
AUS,f,18-59,0,2020
AUS,f,60+,0,2020
AUS,m,0-4,0,2020
AUS,m,5-11,0,2020
AUS,m,12-17,0,2020
AUS,m,18-59,0,2020
AUS,m,60+,0,2020
AUT,f,0-4,0,2020
AUT,f,5-11,0,2020
AUT,f,12-17,0,2020
AUT,f,18-59,0,2020
AUT,f,60+,0,2020
AUT,m,0-4,0,2020
AUT,m,5-11,0,2020
AUT,m,12-17,0,2020
AUT,m,18-59,0,2020
AUT,m,60+,0,2020
AUT,f,0-4,0,2020
AUT,f,5-11,0,2020
AUT,f,12-17,0,2020
AUT,f,18-59,0,2020
AUT,f,60+,0,2020
AUT,m,0-4,0,2020
AUT,m,5-11,0,2020
AUT,m,12-17,0,2020
AUT,m,18-59,0,2020
AUT,m,60+,0,2020
AZE,f,0-4,0,2020
AZE,f,5-11,5,2020
AZE,f,12-17,0,2020
AZE,f,18-59,7,2020
AZE,f,60+,0,2020
AZE,m,0-4,0,2020
AZE,m,5-11,0,2020
AZE,m,12-17,0,2020
AZE,m,18-59,12,2020
AZE,m,60+,0,2020
AZE,f,0-4,56,2020
AZE,f,5-11,54,2020
AZE,f,12-17,40,2020
AZE,f,18-59,261,2020
AZE,f,60+,8,2020
AZE,m,0-4,51,2020
AZE,m,5-11,65,2020
AZE,m,12-17,65,2020
AZE,m,18-59,467,2020
AZE,m,60+,20,2020
BEL,f,0-4,0,2020
BEL,f,5-11,0,2020
BEL,f,12-17,0,2020
BEL,f,18-59,0,2020
BEL,f,60+,0,2020
BEL,m,0-4,0,2020
BEL,m,5-11,0,2020
BEL,m,12-17,0,2020
BEL,m,18-59,0,2020
BEL,m,60+,0,2020
BEL,f,0-4,0,2020
BEL,f,5-11,0,2020
BEL,f,12-17,0,2020
BEL,f,18-59,0,2020
BEL,f,60+,0,2020
BEL,m,0-4,0,2020
BEL,m,5-11,0,2020
BEL,m,12-17,0,2020
BEL,m,18-59,0,2020
BEL,m,60+,0,2020
BGR,f,0-4,0,2020
BGR,f,5-11,0,2020
BGR,f,12-17,0,2020
BGR,f,18-59,0,2020
BGR,f,60+,0,2020
BGR,m,0-4,0,2020
BGR,m,5-11,0,2020
BGR,m,12-17,0,2020
BGR,m,18-59,0,2020
BGR,m,60+,0,2020
BGR,f,0-4,0,2020
BGR,f,5-11,0,2020
BGR,f,12-17,0,2020
BGR,f,18-59,0,2020
BGR,f,60+,0,2020
BGR,m,0-4,0,2020
BGR,m,5-11,0,2020
BGR,m,12-17,0,2020
BGR,m,18-59,0,2020
BGR,m,60+,0,2020
BIH,f,0-4,7,2020
BIH,f,5-11,0,2020
BIH,f,12-17,0,2020
BIH,f,18-59,0,2020
BIH,f,60+,0,2020
BIH,m,0-4,5,2020
BIH,m,5-11,0,2020
BIH,m,12-17,8,2020
BIH,m,18-59,13,2020
BIH,m,60+,0,2020
BIH,f,0-4,0,2020
BIH,f,5-11,0,2020
BIH,f,12-17,0,2020
BIH,f,18-59,0,2020
BIH,f,60+,0,2020
