year,origin_location_code,asylum_location_code,population
2001,AFG,IDN,1473
2001,AFG,IND,36044
2001,AFG,JPN,258
2001,AFG,KHM,51
2001,AFG,LKA,39
2001,AFG,MYS,276
2001,AFG,NZL,434
2001,AFG,PAK,5215889
2001,AFG,THA,62
2001,BGD,JPN,10
2001,CHN,IND,92344
2001,CHN,JPN,39
2001,CHN,KHM,30
2001,CHN,NPL,69
2001,CHN,NZL,14
2001,CHN,THA,218
2001,IDN,MYS,331
2001,IDN,PNG,9882
2001,IND,JPN,7
2001,IND,NZL,5
2001,IND,PAK,5
2001,KHM,JPN,620
2001,KHM,NZL,9
2001,KHM,THA,282
2001,LKA,IDN,75
2001,LKA,IND,64061
2001,LKA,KHM,33
2001,LKA,NPL,24
2001,LKA,NZL,122
2001,LKA,PAK,7
2001,LKA,PHL,80
2001,LKA,THA,182
2001,MNG,NZL,5
2001,MYS,NZL,5
2001,PAK,JPN,59
2001,PAK,KHM,15
2001,PHL,MYS,45100
2002,AFG,CHN,24
2002,AFG,IDN,585
2002,AFG,IND,34243
2002,AFG,JPN,222
2002,AFG,KHM,45
2002,AFG,LKA,39
2002,AFG,MYS,121
2002,AFG,NZL,562
2002,AFG,PAK,3679707
2002,AFG,THA,47
2002,BGD,IDN,15
2002,BGD,JPN,20
2002,BGD,MYS,52
2002,CHN,IND,184697
2002,CHN,JPN,110
2002,CHN,KHM,36
2002,CHN,MYS,23
2002,CHN,NPL,63
2002,CHN,NZL,31
2002,CHN,PAK,46
2002,CHN,THA,264
2002,IDN,MYS,1602
2002,IDN,NZL,5
2002,IDN,PNG,10782
2002,IND,JPN,18
2002,IND,MYS,5
2002,IND,NZL,6
2002,KHM,JPN,358
2002,KHM,NZL,16
2002,KHM,THA,261
2002,LKA,IDN,54
2002,LKA,IND,127534
2002,LKA,JPN,10
2002,LKA,KHM,21
2002,LKA,MYS,5
2002,LKA,NPL,21
2002,LKA,NZL,178
2002,LKA,PAK,8
2002,LKA,PHL,37
2002,LKA,THA,105
2002,MNG,NZL,5
2002,MYS,NZL,5
2002,NPL,NZL,5
2002,PAK,IDN,21
2002,PAK,JPN,65
2002,PAK,KHM,18
2002,PAK,MYS,15
2002,PAK,NZL,5
2002,PHL,IDN,15
2002,PHL,MYS,45121
2002,THA,NZL,5
2003,AFG,CHN,24
2003,AFG,IDN,252
2003,AFG,IND,30937
2003,AFG,JPN,142
2003,AFG,KHM,39
2003,AFG,LKA,51
2003,AFG,MYS,60
2003,AFG,NZL,629
