origin_location_code,asylum_location_code,population
AND,FRA,
AND,ESP,
ARE,SAU,
ARE,QAT,
ARE,OMN,
AFG,IRN,
AFG,TKM,
AFG,TJK,
AFG,UZB,
AFG,CHN,1364.0
AFG,PAK,103044840.0
ALB,MNE,
ALB,GRC,
ARM,GEO,
ARM,AZE,
ARM,IRN,
AGO,NAM,
AGO,COG,
AGO,ZMB,
ARG,CHL,
ARG,BOL,
ARG,PRY,
ARG,BRA,
ARG,URY,
AUT,DEU,
AUT,SVK,
AUT,HUN,
AUT,SVN,
AUT,ITA,
AUT,CHE,
AUT,LIE,
AZE,RUS,
AZE,GEO,
AZE,ARM,
AZE,IRN,
BGD,IND,336.0
BGD,MMR,
BEL,NLD,
BEL,DEU,
BEL,LUX,
BEL,FRA,
BFA,NER,
BFA,MLI,
BFA,GHA,
BFA,TGO,
BFA,BEN,
BGR,ROU,
BGR,SRB,
BGR,GRC,
BDI,RWA,
BEN,TGO,
BEN,NGA,
BEN,NER,
BEN,BFA,
BRN,MYS,
BOL,BRA,
BOL,PRY,
BOL,ARG,
BOL,CHL,
BOL,PER,
BRA,SUR,
BRA,GUY,
BRA,COL,
BRA,PER,
BRA,BOL,
BRA,PRY,
BRA,ARG,
BRA,URY,
BTN,IND,
BTN,CHN,
BWA,ZWE,
BWA,ZMB,
BWA,NAM,
BWA,ZAF,
BLR,LVA,
BLR,LTU,
BLR,POL,
BLR,RUS,
BLR,UKR,
BLZ,MEX,
BLZ,GTM,
CAN,USA,
CAF,SSD,
CAF,CMR,
CAF,COD,
CAF,TCD,
COG,GAB,
COG,CMR,
COG,AGO,
CHE,DEU,
CHE,AUT,
CHE,LIE,
CHE,ITA,
CHE,FRA,
CHL,PER,
CHL,BOL,
CHL,ARG,
CMR,TCD,
CMR,NGA,
CMR,CAF,
CMR,COG,
CHN,IND,2304486.0
CHN,NPL,152.0
CHN,BTN,
CHN,MMR,
CHN,LAO,
CHN,VNM,
CHN,PRK,
CHN,MNG,372.0
CHN,RUS,
CHN,KGZ,
CHN,TJK,
CHN,AFG,10.0
CHN,PAK,429.0
CHN,JPN,3276.0
COL,PAN,
COL,BRA,
COL,PER,
COL,ECU,
CRI,NIC,
CRI,PAN,
DEU,NLD,
DEU,DNK,
DEU,POL,
DEU,AUT,
DEU,CHE,
DEU,FRA,
DEU,LUX,
DEU,BEL,
DJI,ERI,
DJI,ETH,
DJI,SOM,
DNK,DEU,
DOM,HTI,
DZA,ESH,
DZA,MRT,
DZA,MLI,
DZA,NER,
DZA,LBY,
DZA,TUN,
DZA,MAR,
ECU,PER,
ECU,COL,
EST,LVA,
EST,RUS,
EGY,LBY,
EGY,SDN,
EGY,ISR,
ESH,MAR,
ESH,MRT,
ERI,ETH,
ERI,SDN,
ERI,DJI,
ESP,FRA,
ESP,PRT,
ESP,AND,
ETH,DJI,
ETH,ERI,
ETH,SOM,
ETH,SDN,
ETH,KEN,
FIN,NOR,
FIN,SWE,
FIN,RUS,
FRA,BEL,
FRA,LUX,
FRA,DEU,
FRA,CHE,
FRA,ITA,
FRA,ESP,
FRA,MCO,
FRA,AND,
GAB,CMR,
GAB,GNQ,
GBR,IRL,
GEO,RUS,
GEO,ARM,
GEO,AZE,
GHA,TGO,
GHA,BFA,
GMB,SEN,
GIN,SEN,
GIN,GNB,
GIN,SLE,
GIN,LBR,
GIN,MLI,
GNQ,GAB,
GNQ,CMR,
GRC,ALB,
GRC,MKD,
GRC,BGR,
GTM,MEX,
GTM,BLZ,
GTM,HND,
GTM,SLV,
GNB,SEN,
GNB,GIN,
GUY,BRA,
GUY,SUR,
HND,NIC,
HND,SLV,
HND,GTM,
HRV,SVN,
HRV,HUN,
HRV,SRB,
HRV,BIH,
HRV,MNE,
HTI,DOM,
HUN,SVK,
HUN,UKR,
HUN,ROU,
HUN,SRB,
HUN,HRV,
HUN,SVN,
IDN,MYS,206027.0
IDN,TLS,53.0
IDN,PNG,321656.0
IDN,PHL,15.0
IRL,GBR,
ISR,LBN,
ISR,JOR,
ISR,EGY,
IND,PAK,105.0
IND,CHN,
IND,BGD,
IND,NPL,10883.0
IND,BTN,
IND,MMR,
IND,LKA,54.0
IRQ,IRN,
IRQ,JOR,
IRQ,SAU,
IRQ,KWT,
IRN,IRQ,
IRN,ARM,
IRN,AZE,
IRN,TKM,
IRN,AFG,
IRN,PAK,
ITA,CHE,
ITA,AUT,
ITA,SVN,
ITA,FRA,
JOR,ISR,
JOR,IRQ,
JOR,SAU,
JPN,KOR,
JPN,CHN,
KEN,ETH,
KEN,UGA,
KEN,SSD,
KEN,SOM,
KGZ,KAZ,
KGZ,TJK,
KGZ,UZB,
KGZ,CHN,
KHM,THA,15177.0
KHM,VNM,100898.0
KHM,LAO,
PRK,KOR,
PRK,CHN,
PRK,RUS,
KOR,PRK,
KOR,CHN,
KOR,JPN,22.0
KWT,IRQ,
KWT,SAU,
KAZ,RUS,
KAZ,UZB,
KAZ,CHN,
KAZ,KGZ,
KAZ,TKM,
LAO,CHN,
LAO,MMR,
LAO,VNM,
LAO,KHM,
LAO,THA,7840.0
LBN,ISR,
LIE,CHE,
LIE,AUT,
LKA,IND,2919008.0
LBR,SLE,
LBR,GIN,
LSO,ZAF,
LTU,LVA,
LTU,BLR,
LTU,POL,
LTU,RUS,
LUX,DEU,
LUX,BEL,
LUX,FRA,
LVA,EST,
LVA,LTU,
LVA,RUS,
LVA,BLR,
LBY,TUN,
LBY,DZA,
LBY,NER,
LBY,TCD,
LBY,SDN,
LBY,EGY,
MAR,ESH,
MAR,DZA,
MCO,FRA,
MNE,ALB,
MNE,BIH,
MNE,SRB,
MKD,ALB,
MKD,BGR,
MKD,GRC,
MKD,SRB,
MLI,NER,
MLI,DZA,
MLI,MRT,
MLI,SEN,
MLI,GIN,
MLI,BFA,
MMR,IND,1066846.0
MMR,BGD,24528007.0
MMR,CHN,
MMR,LAO,
MMR,THA,7344459.0
MNG,RUS,
MNG,CHN,
MRT,ESH,
MRT,SEN,
MRT,MLI,
MWI,ZMB,
MWI,MOZ,
MEX,GTM,
MEX,BLZ,
MYS,THA,30.0
MYS,SGP,
MYS,BRN,
MYS,IDN,
MYS,PHL,66.0
MOZ,ZWE,
MOZ,ZAF,
MOZ,ZMB,
MOZ,MWI,
NAM,AGO,
NAM,BWA,
NAM,ZAF,
NAM,ZMB,
NER,NGA,
NER,BEN,
NER,BFA,
NER,DZA,
NER,LBY,
NER,TCD,
NGA,BEN,
NGA,CMR,
NGA,TCD,
NGA,NER,
NIC,CRI,
NIC,HND,
NLD,DEU,
NLD,BEL,
NOR,FIN,
NOR,SWE,
NOR,RUS,
NPL,CHN,
NPL,IND,
OMN,ARE,
OMN,SAU,
OMN,YEM,
PAN,CRI,
PAN,COL,
PER,ECU,
PER,BOL,
PER,BRA,
PER,CHL,
PER,COL,
PNG,IDN,
PHL,MYS,1510975.0
PHL,IDN,63.0
PHL,VNM,
PHL,TWN,
PAK,CHN,3699.0
PAK,IND,264.0
PAK,IRN,
PAK,AFG,3220697.0
POL,DEU,
POL,SVK,
POL,UKR,
POL,BLR,
POL,LTU,
PRT,ESP,
PRY,BOL,
PRY,BRA,
PRY,ARG,
QAT,SAU,
ROU,HUN,
ROU,SRB,
ROU,BGR,
ROU,UKR,
SRB,HUN,
SRB,ROU,
SRB,BGR,
SRB,HRV,
SRB,BIH,
SRB,MNE,
SRB,MKD,
RUS,NOR,
RUS,FIN,
RUS,EST,
RUS,LVA,
RUS,LTU,
RUS,POL,
RUS,BLR,
RUS,UKR,
RUS,GEO,
RUS,KAZ,
RUS,MNG,
RUS,CHN,
RUS,PRK,
RWA,UGA,
RWA,BDI,
SAU,IRQ,
SAU,JOR,
SAU,KWT,
SAU,YEM,
SAU,OMN,
SAU,ARE,
SAU,QAT,
SAU,BHR,
SDN,EGY,
SDN,ERI,
SDN,ETH,
SDN,SSD,
SDN,CAF,
SDN,TCD,
SDN,LBY,
SWE,NOR,
SWE,FIN,
SVN,HUN,
SVN,ITA,
SVN,AUT,
SVN,HRV,
SVK,POL,
SVK,AUT,
SVK,HUN,
SVK,UKR,
SLE,LBR,
SLE,GIN,
SMR,ITA,
SEN,MRT,
SEN,MLI,
SEN,GIN,
SEN,GNB,
SEN,GMB,
SOM,ETH,
SOM,KEN,
SOM,DJI,
SUR,GUF,
SUR,GUY,
SUR,BRA,
SSD,SDN,
SSD,CAF,
SSD,COD,
SSD,UGA,
SSD,KEN,
SSD,ETH,
SLV,GTM,
SLV,HND,
TCD,LBY,
TCD,NER,
TCD,NGA,
TCD,CMR,
TCD,CAF,
TCD,SDN,
TGO,GHA,
TGO,BEN,
TGO,BFA,
THA,MMR,
THA,LAO,
THA,KHM,96.0
THA,MYS,6495.0
TJK,UZB,
TJK,KGZ,
TJK,CHN,
TJK,AFG,
TKM,UZB,
TKM,KAZ,
TKM,IRN,
TKM,AFG,
