year,origin_location_code,asylum_location_code,population_group,population
2001,AFG,ARE,ASY,48
2001,AFG,ARE,REF,18
2001,AFG,AUS,ASY,452
2001,AFG,AUS,REF,6262
2001,AFG,AUT,REF,1049
2001,AFG,AZE,ASY,2793
2001,AFG,AZE,REF,729
2001,AFG,BEL,REF,714
2001,AFG,BGR,ASY,1869
2001,AFG,BGR,REF,1565
2001,AFG,BLR,ASY,639
2001,AFG,BLR,REF,1362
2001,AFG,BRA,ASY,5
2001,AFG,CAN,ASY,406
2001,AFG,CAN,REF,11371
2001,AFG,CHE,ASY,2135
2001,AFG,CHE,REF,2892
2001,AFG,CHL,REF,15
2001,AFG,CIV,ASY,18
2001,AFG,CIV,REF,15
2001,AFG,CUB,REF,78
2001,AFG,CYP,ASY,11
2001,AFG,CYP,REF,15
2001,AFG,CZE,ASY,133
2001,AFG,CZE,REF,199
2001,AFG,DEU,ASY,10057
2001,AFG,DNK,ASY,819
2001,AFG,DNK,REF,4816
2001,AFG,ECU,REF,28
2001,AFG,EGY,ASY,42
2001,AFG,EGY,REF,198
2001,AFG,ESP,REF,145
2001,AFG,EST,REF,18
2001,AFG,ETH,REF,15
2001,AFG,FIN,REF,661
2001,AFG,FRA,REF,2568
2001,AFG,GBR,REF,15065
2001,AFG,GEO,REF,15
2001,AFG,GRC,ASY,1597
2001,AFG,GRC,REF,154
2001,AFG,HKG,ASY,15
2001,AFG,HUN,ASY,1105
2001,AFG,HUN,REF,581
2001,AFG,IDN,ASY,1341
2001,AFG,IDN,REF,132
2001,AFG,IND,ASY,128
2001,AFG,IND,REF,35916
2001,AFG,IRL,REF,41
2001,AFG,IRN,REF,4446000
2001,AFG,ITA,REF,149
2001,AFG,JPN,ASY,142
2001,AFG,JPN,REF,116
2001,AFG,KAZ,ASY,10
2001,AFG,KAZ,REF,2353
2001,AFG,KGZ,ASY,98
2001,AFG,KGZ,REF,2766
2001,AFG,KHM,REF,51
2001,AFG,KWT,ASY,87
2001,AFG,KWT,REF,135
2001,AFG,LBN,REF,144
2001,AFG,LKA,ASY,39
2001,AFG,LTU,ASY,120
2001,AFG,LTU,REF,115
2001,AFG,MAR,REF,8
2001,AFG,MDA,ASY,21
2001,AFG,MDA,REF,21
2001,AFG,MEX,REF,27
2001,AFG,MLT,REF,8
2001,AFG,MYS,ASY,45
2001,AFG,MYS,REF,231
2001,AFG,NLD,ASY,7894
2001,AFG,NLD,REF,26024
2001,AFG,NOR,REF,1799
2001,AFG,NZL,REF,434
2001,AFG,OMN,ASY,48
2001,AFG,PAK,REF,5215889
2001,AFG,POL,REF,64
2001,AFG,PRT,REF,5
2001,AFG,QAT,REF,120
2001,AFG,ROU,REF,573
2001,AFG,RUS,ASY,669
2001,AFG,RUS,OOC,100000
2001,AFG,RUS,REF,491
2001,AFG,SAU,ASY,129
2001,AFG,SAU,REF,447
2001,AFG,SRB,ASY,26
2001,AFG,SRB,REF,13
2001,AFG,SVK,ASY,1598
2001,AFG,SVK,REF,193
2001,AFG,SVN,ASY,16
2001,AFG,SWE,REF,2732
2001,AFG,SYR,ASY,11
2001,AFG,SYR,REF,1221
2001,AFG,THA,ASY,5
2001,AFG,THA,REF,57
2001,AFG,TJK,ASY,376
2001,AFG,TJK,REF,34852
2001,AFG,TKM,ASY,178
2001,AFG,TKM,REF,3030
2001,AFG,TUR,ASY,921
