year,country_name,total_population,gender,age_range,population
2001,Pakistan,1509034,f,0-4,122591.0
2001,Pakistan,1509034,f,5-11,174858.0
2001,Pakistan,1509034,f,12-17,149878.0
2001,Pakistan,1509034,f,18-59,327785.0
2001,Pakistan,1509034,f,60+,23976.0
2001,Pakistan,1509034,m,0-4,120689.0
2001,Pakistan,1509034,m,5-11,174524.0
2001,Pakistan,1509034,m,12-17,149590.0
2001,Pakistan,1509034,m,18-59,236912.0
2001,Pakistan,1509034,m,60+,28231.0
2001,Iran,1482000,f,0-4,68918.0
2001,Iran,1482000,f,5-11,127037.0
2001,Iran,1482000,f,12-17,108889.0
2001,Iran,1482000,f,18-59,248624.0
2001,Iran,1482000,f,60+,16065.0
2001,Iran,1482000,m,0-4,73877.0
2001,Iran,1482000,m,5-11,145845.0
2001,Iran,1482000,m,12-17,125010.0
2001,Iran,1482000,m,18-59,539272.0
2001,Iran,1482000,m,60+,28463.0
2001,India,11972,f,0-4,0.0
2001,India,11972,f,5-11,0.0
2001,India,11972,f,12-17,0.0
2001,India,11972,f,18-59,0.0
2001,India,11972,f,60+,0.0
2001,India,11972,m,0-4,0.0
2001,India,11972,m,5-11,0.0
2001,India,11972,m,12-17,0.0
2001,India,11972,m,18-59,0.0
2001,India,11972,m,60+,0.0
2001,India,11972,f,0-4,185.0
2001,India,11972,f,5-11,1198.0
2001,India,11972,f,12-17,1027.0
2001,India,11972,f,18-59,3469.0
2001,India,11972,f,60+,318.0
2001,India,11972,m,0-4,248.0
2001,India,11972,m,5-11,1241.0
2001,India,11972,m,12-17,1063.0
2001,India,11972,m,18-59,2881.0
2001,India,11972,m,60+,342.0
2001,Tajikistan,4397,f,0-4,0.0
2001,Tajikistan,4397,f,5-11,0.0
2001,Tajikistan,4397,f,12-17,0.0
2001,Tajikistan,4397,f,18-59,0.0
2001,Tajikistan,4397,f,60+,0.0
2001,Tajikistan,4397,m,0-4,0.0
2001,Tajikistan,4397,m,5-11,0.0
2001,Tajikistan,4397,m,12-17,0.0
2001,Tajikistan,4397,m,18-59,0.0
2001,Tajikistan,4397,m,60+,0.0
2001,Tajikistan,4397,f,0-4,188.0
2001,Tajikistan,4397,f,5-11,385.0
2001,Tajikistan,4397,f,12-17,329.0
2001,Tajikistan,4397,f,18-59,607.0
2001,Tajikistan,4397,f,60+,90.0
2001,Tajikistan,4397,m,0-4,363.0
2001,Tajikistan,4397,m,5-11,593.0
2001,Tajikistan,4397,m,12-17,508.0
2001,Tajikistan,4397,m,18-59,1095.0
2001,Tajikistan,4397,m,60+,239.0
2001,Uzbekistan,3885,f,0-4,47.0
2001,Uzbekistan,3885,f,5-11,125.0
2001,Uzbekistan,3885,f,12-17,107.0
2001,Uzbekistan,3885,f,18-59,248.0
2001,Uzbekistan,3885,f,60+,12.0
2001,Uzbekistan,3885,m,0-4,47.0
2001,Uzbekistan,3885,m,5-11,132.0
2001,Uzbekistan,3885,m,12-17,114.0
2001,Uzbekistan,3885,m,18-59,469.0
2001,Uzbekistan,3885,m,60+,15.0
2001,Uzbekistan,3885,f,0-4,79.0
2001,Uzbekistan,3885,f,5-11,292.0
2001,Uzbekistan,3885,f,12-17,252.0
2001,Uzbekistan,3885,f,18-59,580.0
2001,Uzbekistan,3885,f,60+,16.0
2001,Uzbekistan,3885,m,0-4,93.0
2001,Uzbekistan,3885,m,5-11,314.0
2001,Uzbekistan,3885,m,12-17,270.0
2001,Uzbekistan,3885,m,18-59,645.0
2001,Uzbekistan,3885,m,60+,28.0
2002,Pakistan,1226569,f,0-4,100629.0
2002,Pakistan,1226569,f,5-11,143189.0
2002,Pakistan,1226569,f,12-17,122734.0
2002,Pakistan,1226569,f,18-59,263478.0
2002,Pakistan,1226569,f,60+,19486.0
2002,Pakistan,1226569,m,0-4,98099.0
2002,Pakistan,1226569,m,5-11,141385.0
2002,Pakistan,1226569,m,12-17,121188.0
2002,Pakistan,1226569,m,18-59,193438.0
2002,Pakistan,1226569,m,60+,22943.0
2002,India,11371,f,0-4,0.0
2002,India,11371,f,5-11,0.0
2002,India,11371,f,12-17,0.0
2002,India,11371,f,18-59,0.0
2002,India,11371,f,60+,0.0
2002,India,11371,m,0-4,0.0
2002,India,11371,m,5-11,0.0
2002,India,11371,m,12-17,0.0
2002,India,11371,m,18-59,0.0
2002,India,11371,m,60+,0.0
2002,India,11371,f,0-4,193.0
2002,India,11371,f,5-11,1087.0
2002,India,11371,f,12-17,931.0
2002,India,11371,f,18-59,3415.0
2002,India,11371,f,60+,321.0
2002,India,11371,m,0-4,226.0
2002,India,11371,m,5-11,1131.0
2002,India,11371,m,12-17,970.0
2002,India,11371,m,18-59,2747.0
2002,India,11371,m,60+,350.0
2002,Uzbekistan,3671,f,0-4,44.0
2002,Uzbekistan,3671,f,5-11,121.0
2002,Uzbekistan,3671,f,12-17,103.0
2002,Uzbekistan,3671,f,18-59,186.0
2002,Uzbekistan,3671,f,60+,31.0
2002,Uzbekistan,3671,m,0-4,43.0
2002,Uzbekistan,3671,m,5-11,94.0
