year,origin_location_code,asylum_location_code,population
2001,AFG,ARE,66
2001,AFG,AUS,6714
2001,AFG,AUT,1049
2001,AFG,AZE,3522
2001,AFG,BEL,714
2001,AFG,BGR,3434
2001,AFG,BLR,2001
2001,AFG,BRA,5
2001,AFG,CAN,11777
2001,AFG,CHE,5027
2001,AFG,CHL,15
2001,AFG,CIV,33
2001,AFG,CUB,78
2001,AFG,CYP,26
2001,AFG,CZE,332
2001,AFG,DEU,10057
2001,AFG,DNK,5635
2001,AFG,ECU,28
2001,AFG,EGY,240
2001,AFG,ESP,145
2001,AFG,EST,18
2001,AFG,ETH,15
2001,AFG,FIN,661
2001,AFG,FRA,2568
2001,AFG,GBR,15065
2001,AFG,GEO,15
2001,AFG,GRC,1751
2001,AFG,HKG,15
2001,AFG,HUN,1686
2001,AFG,IDN,1473
2001,AFG,IND,36044
2001,AFG,IRL,41
2001,AFG,IRN,4446000
2001,AFG,ITA,149
2001,AFG,JPN,258
2001,AFG,KAZ,2363
2001,AFG,KGZ,2864
2001,AFG,KHM,51
2001,AFG,KWT,222
2001,AFG,LBN,144
2001,AFG,LKA,39
2001,AFG,LTU,235
2001,AFG,MAR,8
2001,AFG,MDA,42
2001,AFG,MEX,27
2001,AFG,MLT,8
2001,AFG,MYS,276
2001,AFG,NLD,33918
2001,AFG,NOR,1799
2001,AFG,NZL,434
2001,AFG,OMN,48
2001,AFG,PAK,5215889
2001,AFG,POL,64
2001,AFG,PRT,5
2001,AFG,QAT,120
2001,AFG,ROU,573
2001,AFG,RUS,101160
2001,AFG,SAU,576
2001,AFG,SRB,39
2001,AFG,SVK,1791
2001,AFG,SVN,16
2001,AFG,SWE,2732
2001,AFG,SYR,1232
2001,AFG,THA,62
2001,AFG,TJK,35228
2001,AFG,TKM,3208
2001,AFG,TUR,1239
2001,AFG,UKR,4977
2001,AFG,USA,7756
2001,AFG,UZB,18655
2001,AFG,ZAF,15
2001,AFG,ZWE,246
2001,AGO,ARG,16
2001,AGO,AUS,19
2001,AGO,AUT,23
2001,AGO,BEL,618
2001,AGO,BEN,15
2001,AGO,BGR,7
2001,AGO,BRA,1897
2001,AGO,BWA,2466
2001,AGO,CAF,162
2001,AGO,CAN,1020
2001,AGO,CHE,5560
2001,AGO,CHL,18
2001,AGO,CIV,15
2001,AGO,COD,374171
2001,AGO,COG,24713
2001,AGO,COL,15
2001,AGO,CZE,41
2001,AGO,DEU,424
2001,AGO,DNK,24
2001,AGO,ESP,203
2001,AGO,ETH,15
2001,AGO,FIN,100
2001,AGO,FRA,3352
2001,AGO,GAB,289
2001,AGO,GBR,1670
2001,AGO,GRC,5
2001,AGO,HUN,14
2001,AGO,IRL,111
2001,AGO,ITA,99
2001,AGO,MAR,8
2001,AGO,MEX,27
2001,AGO,MOZ,108
2001,AGO,NAM,72651
2001,AGO,NGA,42
2001,AGO,NLD,8858
2001,AGO,NOR,16
2001,AGO,PAK,5
2001,AGO,PRT,19
2001,AGO,RUS,5
2001,AGO,RWA,15
2001,AGO,SEN,13
2001,AGO,SVK,22
2001,AGO,SWE,72
2001,AGO,SWZ,411
2001,AGO,UKR,186
2001,AGO,USA,279
2001,AGO,ZAF,11210
2001,AGO,ZMB,240811
2001,AGO,ZWE,1083
2001,ALB,ARG,27
2001,ALB,AUS,129
2001,ALB,AUT,134
2001,ALB,BEL,350
2001,ALB,BGR,22
2001,ALB,CAN,2004
2001,ALB,CHE,352
2001,ALB,CZE,18
2001,ALB,DEU,159
2001,ALB,DNK,40
2001,ALB,EGY,15
2001,ALB,ESP,47
2001,ALB,FIN,7
2001,ALB,FRA,1598
2001,ALB,GBR,305
2001,ALB,GRC,61
2001,ALB,HUN,9
2001,ALB,IRL,14
2001,ALB,ISL,10
2001,ALB,ITA,344
2001,ALB,MEX,42
2001,ALB,NLD,317
2001,ALB,NOR,25
2001,ALB,PAN,15
2001,ALB,ROU,8
2001,ALB,SWE,83
2001,ALB,USA,6691
2001,AND,USA,7
2001,ARE,AUS,11
2001,ARE,CAN,26
2001,ARE,CHE,15
2001,ARE,USA,5
2001,ARG,AUS,22
2001,ARG,BRA,13
2001,ARG,CAN,1433
2001,ARG,CHE,5
2001,ARG,ESP,434
2001,ARG,MEX,15
2001,ARG,SWE,15
2001,ARG,USA,183
2001,ARM,ARG,141
2001,ARM,AUS,17
2001,ARM,AUT,28
2001,ARM,BEL,66
2001,ARM,BGR,234
2001,ARM,BLR,5
2001,ARM,BRA,5
2001,ARM,CAN,173
2001,ARM,CHE,854
2001,ARM,CYP,5
2001,ARM,CZE,703
2001,ARM,DEU,422
2001,ARM,DNK,307
2001,ARM,ESP,266
2001,ARM,EST,15
2001,ARM,FIN,12
2001,ARM,FRA,856
2001,ARM,HUN,57
2001,ARM,IRL,5
2001,ARM,ISR,5
2001,ARM,ITA,26
2001,ARM,LIE,8
2001,ARM,MAR,8
2001,ARM,MEX,15
2001,ARM,NLD,2809
2001,ARM,NOR,64
2001,ARM,POL,9
2001,ARM,PRT,5
2001,ARM,RUS,104
2001,ARM,SVK,36
2001,ARM,SVN,10
2001,ARM,SWE,245
2001,ARM,UKR,750
2001,ARM,USA,6726
2001,ATG,CAN,11
2001,AUS,AUS,5
2001,AUS,USA,5
2001,AUT,AUS,13
2001,AUT,CAN,19
2001,AZE,ARM,792981
2001,AZE,AUS,8
2001,AZE,AUT,22
2001,AZE,BGR,17
2001,AZE,BLR,77
2001,AZE,CAN,362
2001,AZE,CHE,263
2001,AZE,CYP,5
2001,AZE,CZE,83
2001,AZE,DEU,923
2001,AZE,DNK,162
2001,AZE,ESP,49
2001,AZE,FIN,27
2001,AZE,FRA,320
2001,AZE,GEO,39
2001,AZE,IRL,9
2001,AZE,ITA,7
2001,AZE,KAZ,5
2001,AZE,MDA,15
2001,AZE,NLD,4618
2001,AZE,NOR,46
2001,AZE,ROU,5
2001,AZE,RUS,456
2001,AZE,SWE,47
2001,AZE,TKM,476
2001,AZE,UKR,723
2001,AZE,USA,2510
2001,AZE,UZB,42
2001,BDI,AGO,59
2001,BDI,AUS,17
2001,BDI,AUT,7
2001,BDI,BEL,1242
2001,BDI,BEN,396
2001,BDI,BFA,68
2001,BDI,BRA,5
2001,BDI,BWA,87
2001,BDI,CAF,153
2001,BDI,CAN,1516
2001,BDI,CHE,432
2001,BDI,CHN,45
2001,BDI,CIV,321
2001,BDI,CMR,327
2001,BDI,COD,20750
2001,BDI,COG,210
2001,BDI,DEU,25
2001,BDI,DJI,5
2001,BDI,DNK,291
2001,BDI,EGY,104
2001,BDI,ESP,5
2001,BDI,ETH,48
2001,BDI,FRA,434
2001,BDI,GAB,40
2001,BDI,GHA,21
2001,BDI,GIN,8
2001,BDI,GNB,33
2001,BDI,GRC,15
2001,BDI,IRL,8
2001,BDI,ITA,47
2001,BDI,KEN,1580
2001,BDI,LBN,30
2001,BDI,MAR,7
2001,BDI,MLI,38
2001,BDI,MOZ,1723
2001,BDI,MWI,2250
2001,BDI,NAM,1071
2001,BDI,NLD,1289
2001,BDI,NOR,85
2001,BDI,NZL,19
2001,BDI,PAK,14
2001,BDI,RWA,5603
2001,BDI,SEN,279
2001,BDI,SOM,15
2001,BDI,SWE,54
2001,BDI,SWZ,648
2001,BDI,TCD,5
2001,BDI,TGO,186
2001,BDI,TUN,24
2001,BDI,TZA,1392198
2001,BDI,UGA,444
2001,BDI,UKR,30
2001,BDI,USA,941
2001,BDI,ZAF,5322
2001,BDI,ZMB,3658
2001,BDI,ZWE,3060
2001,BEL,CAN,6
2001,BEL,IRL,5
2001,BEL,USA,18
2001,BEN,ARG,6
2001,BEN,BFA,5
2001,BEN,CAN,23
2001,BEN,CHE,66
2001,BEN,DEU,19
2001,BEN,FRA,14
2001,BEN,GAB,15
2001,BEN,ITA,5
2001,BEN,NGA,69
2001,BEN,NLD,88
2001,BEN,SEN,8
2001,BEN,USA,8
2001,BEN,ZAF,15
2001,BFA,BEN,24
2001,BFA,CAN,45
2001,BFA,CHE,106
2001,BFA,DEU,113
2001,BFA,FRA,66
2001,BFA,GIN,5
2001,BFA,MAR,6
2001,BFA,NLD,46
2001,BFA,SEN,5
2001,BFA,USA,17
2001,BFA,ZAF,17
2001,BGD,ARG,29
2001,BGD,AUS,594
2001,BGD,CAN,2630
2001,BGD,CHE,931
2001,BGD,CHL,15
2001,BGD,CYP,5
2001,BGD,DEU,126
2001,BGD,DNK,26
2001,BGD,ESP,13
2001,BGD,FIN,31
2001,BGD,FRA,1422
2001,BGD,GBR,635
2001,BGD,GRC,25
2001,BGD,HKG,27
2001,BGD,HUN,318
2001,BGD,ISL,5
2001,BGD,ITA,18
2001,BGD,JPN,10
2001,BGD,NLD,136
2001,BGD,NOR,34
2001,BGD,SVK,202
2001,BGD,SVN,16
2001,BGD,SWE,422
2001,BGD,USA,2249
2001,BGD,ZAF,423
2001,BGD,ZWE,21
2001,BGR,ARG,5
2001,BGR,AUS,45
2001,BGR,AUT,22
2001,BGR,BEL,44
2001,BGR,CAN,1039
2001,BGR,CHE,347
2001,BGR,CZE,196
2001,BGR,DEU,25
2001,BGR,DNK,11
2001,BGR,ESP,5
2001,BGR,FIN,21
2001,BGR,FRA,210
2001,BGR,GBR,10
2001,BGR,GRC,73
2001,BGR,IRL,22
