YEAR;Battles;Explosions/Remote violence;Protests;Riots;Strategic developments;Violence against civilians
2009;3;3;5;3;2;1
2010;391;387;721;756;95;475
2011;327;349;762;625;80;418
2012;310;398;775;694;110;407
2013;334;415;724;862;73;447
2014;334;344;530;435;29;368
2015;306;298;786;562;87;307
2016;559;382;2482;1170;198;543
2017;497;349;2369;1209;167;527
2018;535;362;2991;1791;358;942
2019;563;346;3207;2128;589;1094
2020;361;212;3018;1636;366;747
2021;349;259;3253;1586;349;599
2022;310;330;3467;1909;540;729
2023;362;317;3376;1923;755;984
2024;389;356;3325;1919;1085;1091
2025;299;336;2674;1493;915;770
