YEAR;Abduction/forced disappearance;Agreement;Air/drone strike;Armed clash;Arrests;Attack;Change to group/activity;Disrupted weapons use;Excessive force against protesters;Government regains territory;Grenade;Headquarters or base established;Looting/property destruction;Mob violence;Non-state actor overtakes territory;Non-violent transfer of territory;Peaceful protest;Protest with intervention;Remote explosive/landmine/IED;Sexual violence;Shelling/artillery/missile attack;Suicide bomb;Violent demonstration
2009;0;0;1;3;1;1;0;0;0;0;0;0;1;2;0;0;4;1;1;0;0;1;1
2010;32;3;50;381;34;442;2;37;36;10;53;2;13;427;0;4;566;119;185;1;52;47;329
2011;14;1;44;326;17;403;2;35;24;1;39;0;25;371;0;0;624;114;187;1;44;35;254
2012;20;3;45;308;25;385;17;48;18;2;58;0;16;372;0;1;643;114;200;2;62;33;322
2013;13;5;30;331;14;432;0;38;41;1;76;0;15;433;2;1;608;75;211;2;61;37;429
2014;11;5;39;331;9;355;3;1;17;3;63;0;11;256;0;0;460;53;179;2;39;24;179
2015;12;7;40;304;57;295;0;13;18;2;49;0;9;327;0;1;672;96;165;0;27;17;235
2016;38;10;18;556;54;498;3;85;45;3;86;0;46;662;0;0;1885;552;236;7;23;19;508
2017;34;7;13;496;39;489;4;62;24;1;61;0;55;705;0;0;1922;423;229;4;19;27;504
2018;55;17;5;535;74;861;15;162;28;0;69;1;88;1009;0;1;2352;611;244;26;30;14;782
2019;53;15;2;563;94;1004;29;272;20;0;51;1;178;1360;0;0;2578;609;256;37;29;8;768
2020;52;9;0;361;40;660;22;180;19;0;54;0;115;1089;0;0;2394;605;130;35;26;2;547
2021;22;34;2;348;60;548;7;138;13;1;80;0;110;976;0;0;2632;608;147;29;26;4;610
2022;39;48;4;310;111;664;3;225;20;0;93;0;153;1123;0;0;2747;700;196;26;22;15;786
2023;117;51;7;362;165;805;29;235;14;0;72;0;275;1202;0;0;2646;716;192;62;26;20;721
2024;184;70;11;389;192;864;131;314;25;0;94;0;378;1225;0;0;2616;684;201;43;40;10;694
2025;158;53;48;298;186;588;73;306;9;1;71;3;294;934;0;0;2142;523;157;24;51;9;559
