YEAR;Battles;Explosions/Remote violence;Protests;Riots;Strategic developments;Violence against civilians
2009;0;101;0;0;0;3
2010;3653;3939;13;204;0;895
2011;2233;2130;4;163;3;801
2012;2452;2484;26;282;15;1278
2013;1690;2172;16;470;1;917
2014;1983;2867;1;173;1;776
2015;2098;1965;10;356;10;619
2016;2400;889;97;326;13;629
2017;1822;758;15;254;5;514
2018;1717;575;4;377;2;969
2019;1292;572;6;449;6;1057
2020;1298;200;13;513;3;581
2021;1301;309;4;502;2;671
2022;1428;412;11;529;9;670
2023;1670;579;9;628;10;983
2024;2500;454;173;1867;11;1161
2025;3177;795;4;515;48;946
