YEAR;Abduction/forced disappearance;Agreement;Air/drone strike;Armed clash;Arrests;Attack;Change to group/activity;Disrupted weapons use;Excessive force against protesters;Government regains territory;Grenade;Headquarters or base established;Looting/property destruction;Mob violence;Non-state actor overtakes territory;Non-violent transfer of territory;Peaceful protest;Protest with intervention;Remote explosive/landmine/IED;Sexual violence;Shelling/artillery/missile attack;Suicide bomb;Violent demonstration
2009;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;93;0
2010;0;0;2156;3332;0;895;0;0;13;321;97;0;0;174;0;0;0;0;322;0;385;979;30
2011;0;0;851;2209;0;800;0;3;4;24;32;0;0;153;0;0;0;0;495;1;210;542;10
2012;0;0;924;2415;0;1278;0;15;26;37;44;0;0;225;0;0;0;0;946;0;218;352;57
2013;0;0;381;1556;0;917;0;1;16;104;40;0;0;228;30;0;0;0;1080;0;128;543;242
2014;0;0;1889;1966;0;776;0;1;1;17;60;0;0;151;0;0;0;0;561;0;136;221;22
2015;0;0;1388;2056;0;619;0;10;10;42;26;0;0;240;0;0;0;0;350;0;57;144;116
2016;0;0;233;2371;0;629;0;13;97;29;13;0;0;227;0;0;0;0;341;0;31;271;99
2017;0;0;82;1822;0;514;0;5;15;0;12;0;0;212;0;0;0;0;364;0;5;295;42
2018;0;0;7;1717;0;965;0;2;4;0;19;0;0;330;0;0;0;0;228;4;26;295;47
2019;0;0;0;1292;0;1055;0;6;6;0;14;0;0;413;0;0;0;0;205;2;10;343;36
2020;0;0;0;1298;0;573;0;3;13;0;11;0;0;431;0;0;0;0;126;8;46;17;82
2021;0;0;2;1300;0;665;0;2;4;1;51;0;0;416;0;0;0;0;200;6;41;15;86
2022;0;0;2;1428;0;662;0;9;11;0;35;0;0;502;0;0;0;0;231;8;33;111;27
2023;0;0;1;1670;0;976;0;10;9;0;28;0;0;573;0;0;0;0;264;7;22;264;55
2024;0;0;22;2500;0;1153;0;11;173;0;31;0;0;576;0;0;0;0;291;8;41;69;1291
2025;0;0;224;3177;0;946;0;48;4;0;25;0;0;401;0;0;0;0;429;0;47;70;114
