YEAR;Battles;Explosions/Remote violence;Protests;Riots;Strategic developments;Violence against civilians
2009;0;0;0;0;2;1
2010;166;194;284;48;101;186
2011;231;193;230;33;125;200
2012;211;177;319;48;181;166
2013;210;163;407;87;120;170
2014;221;184;617;68;137;254
2015;248;168;744;94;129;266
2016;435;276;769;89;217;746
2017;520;232;722;85;218;736
2018;540;209;1139;122;250;735
2019;544;246;1409;209;352;880
2020;513;215;1641;241;386;761
2021;812;863;2278;240;1526;1123
2022;1021;1416;2091;175;1523;1251
2023;1035;1558;2000;213;1363;1194
2024;1048;1539;1854;280;1333;1204
2025;772;1202;1628;317;1090;966
