YEAR;Abduction/forced disappearance;Agreement;Air/drone strike;Armed clash;Arrests;Attack;Change to group/activity;Chemical weapon;Disrupted weapons use;Excessive force against protesters;Government regains territory;Grenade;Headquarters or base established;Looting/property destruction;Mob violence;Non-state actor overtakes territory;Non-violent transfer of territory;Peaceful protest;Protest with intervention;Remote explosive/landmine/IED;Sexual violence;Shelling/artillery/missile attack;Suicide bomb;Violent demonstration
2009;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
2010;4;0;0;165;57;175;8;0;3;5;1;24;0;33;15;0;0;249;30;161;7;9;0;33
2011;6;4;2;225;72;180;12;2;2;5;5;22;0;34;13;1;1;194;31;147;14;20;0;20
2012;10;8;2;207;116;141;6;1;3;9;4;17;0;47;28;0;1;271;39;131;15;26;0;20
2013;6;1;2;204;40;152;9;1;10;13;6;8;0;58;48;0;2;358;36;135;12;17;0;39
2014;6;0;0;217;16;241;18;0;55;34;4;19;2;46;28;0;0;533;50;135;7;30;0;40
2015;10;5;9;230;33;245;21;0;34;15;16;7;0;36;50;2;0;625;104;120;11;32;0;44
2016;36;24;19;421;49;696;16;0;56;17;9;28;0;68;49;5;4;657;95;189;14;40;0;40
2017;43;12;19;508;48;681;13;0;53;4;11;28;1;84;41;1;7;645;73;140;12;44;1;44
2018;52;34;14;535;43;667;22;0;75;13;4;22;0;69;65;1;7;1038;88;133;16;37;3;57
2019;74;27;13;543;125;791;58;0;60;8;1;26;2;78;101;0;2;1295;106;147;15;54;6;108
2020;60;10;22;513;120;689;96;0;66;11;0;12;2;92;124;0;0;1458;172;116;12;64;1;117
2021;119;14;47;808;672;980;311;0;133;97;0;105;47;346;112;4;3;1867;314;526;24;184;1;128
2022;205;14;211;1007;681;1020;228;1;167;15;3;151;1;429;76;11;3;1936;140;645;26;406;2;99
2023;248;13;418;1005;523;919;230;0;171;4;2;103;0;421;98;28;5;1933;63;544;27;492;1;115
2024;311;9;526;927;520;861;301;1;99;4;4;55;0;372;161;117;32;1771;79;467;32;490;0;119
2025;320;11;494;737;356;621;361;0;74;2;18;40;1;278;171;17;9;1549;77;283;25;385;0;146
