,price,price,price,price,price,price,usdprice,usdprice,usdprice,usdprice,usdprice,usdprice,price,usdprice,price,price,usdprice,usdprice,price,price,price,price,price,price,price,usdprice,usdprice,usdprice,usdprice,usdprice,usdprice,usdprice,year
commodity,Bread,Fuel (diesel),"Livestock (sheep, one-year-old alive female)","Wage (non-qualified labour, non-agricultural)",Wheat,Wheat flour,Bread,Fuel (diesel),"Livestock (sheep, one-year-old alive female)","Wage (non-qualified labour, non-agricultural)",Wheat,Wheat flour,Rice (low quality),Rice (low quality),Exchange rate,Wage (qualified labour),Exchange rate,Wage (qualified labour),Oil (cooking),Pulses,Rice (high quality),Salt,Sugar,Wheat flour (high quality),Wheat flour (low quality),Oil (cooking),Pulses,Rice (high quality),Salt,Sugar,Wheat flour (high quality),Wheat flour (low quality),
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-15,15.25,,,83124.91666666667,12.23,15.545000000000002,0.325,,,1776.5533333333333,0.2625,0.3325,,,,,,,,,,,,,,,,,,,,,2000
2000-02-15,14.56,,,85833.25,11.7475,14.4275,0.30500000000000005,,,1807.015,0.2475,0.3025,,,,,,,,,,,,,,,,,,,,,2000
2000-03-15,14.393333333333333,25091.65,,82569.41666666667,10.93,13.155,0.30333333333333334,530.926,,1747.13,0.2325,0.27749999999999997,,,,,,,,,,,,,,,,,,,,,2000
2000-04-15,16.26,22223.13333333333,,87722.2,13.1425,15.345,0.3433333333333333,470.2316666666666,,1856.1616666666666,0.28,0.3225,,,,,,,,,,,,,,,,,,,,,2000
2000-05-15,16.555,22813.916666666668,1214583.305,89166.66666666667,12.6475,14.245000000000001,0.35,482.7316666666666,25700.028333333332,1886.7250000000001,0.2675,0.3025,,,,,,,,,,,,,,,,,,,,,2000
2000-06-15,18.033333333333335,26243.899999999998,1044055.5666666668,86277.76666666666,13.29,15.43,0.37999999999999995,555.3083333333333,22091.74,1825.5966666666666,0.28250000000000003,0.325,,,,,,,,,,,,,,,,,,,,,2000
2000-07-15,17.605,25696.25,999930.5416666666,85277.75,12.7875,15.13,0.37,540.9766666666667,21051.16833333333,1795.3183333333334,0.2675,0.3175,,,,,,,,,,,,,,,,,,,,,2000
2000-08-15,16.535,23821.13333333333,1043633.3333333334,85388.86666666667,11.99,14.067499999999999,0.35,501.4983333333333,21971.228333333333,1797.6583333333335,0.2525,0.295,,,,,,,,,,,,,,,,,,,,,2000
2000-09-15,16.295,25574.458333333332,986805.5,85277.75,11.735,13.29,0.345,538.4083333333334,20774.853333333333,1795.3183333333334,0.245,0.27749999999999997,,,,,,,,,,,,,,,,,,,,,2000
2000-10-15,18.335,29624.041666666668,995416.625,86527.75,11.28,13.065,0.385,623.6633333333333,20956.138333333332,1821.635,0.2375,0.275,,,,,,,,,,,,,,,,,,,,,2000
2000-11-15,16.67,41356.333333333336,1034188.8333333334,86666.63333333333,11.475,13.02,0.35,870.6583333333333,21772.396666666664,1824.5600000000002,0.24,0.275,,,,,,,,,,,,,,,,,,,,,2000
2000-12-15,16.67,37872.333333333336,1162083.3333333333,83333.33333333333,12.1425,13.715,0.35,797.3133333333334,24464.911666666667,1754.3833333333334,0.255,0.29,,,,,,,,,,,,,,,,,,,,,2000
2001-01-15,16.285,34654.433333333334,1496944.4666666668,84111.13333333333,12.9175,14.46,0.33999999999999997,729.565,31514.621666666662,1770.7583333333334,0.2725,0.305,,,,,,,,,,,,,,,,,,,,,2001
2001-02-15,16.365000000000002,30047.875,1920555.5416666667,82405.20833333333,13.175,14.717500000000001,0.345,500.58666666666664,40432.74833333334,1734.845,0.27749999999999997,0.3125,,,,,,,,,,,,,,,,,,,,,2001
2001-03-15,17.599999999999998,32384.708333333332,2136250.0,82083.33333333333,13.3625,14.875,0.36999999999999994,681.7833333333334,44973.685,1728.0683333333334,0.28,0.315,,,,,,,,,,,,,,,,,,,,,2001
2001-04-15,16.39,28886.25,2013472.25,82222.20833333333,13.0175,14.6475,0.345,608.1316666666667,42388.888333333336,1730.9916666666668,0.2725,0.3075,,,,,,,,,,,,,,,,,,,,,2001
2001-05-15,16.060000000000002,28794.233333333334,1847222.2,81722.23333333334,11.3475,13.105,0.33999999999999997,606.195,38888.88833333333,1720.466666666667,0.2375,0.275,,,,,,,,,,,,,,,,,,,,,2001
2001-06-15,15.68,24206.916666666668,1770138.8333333333,81250.0,9.9825,11.385,0.32999999999999996,509.62000000000006,37266.081666666665,1710.5249999999999,0.2125,0.24,,,,,,,,,,,,,,,,,,,,,2001
2001-07-15,15.585,23742.25,1826333.3333333333,81666.66666666667,8.8625,10.254999999999999,0.32999999999999996,499.83666666666664,38449.121666666666,1386.2966666666669,0.185,0.215,,,,,,,,,,,,,,,,,,,,,2001
2001-08-15,15.705000000000002,23830.899999999998,1850777.8333333333,81055.56666666667,9.2375,10.815,0.32999999999999996,501.7033333333333,38963.745,1706.4316666666666,0.1925,0.2275,,,,,,,,,,,,,,,,,,,,,2001
2001-09-15,15.49,24875.986666666668,1791527.7916666667,81944.44499999999,9.98,11.377500000000001,0.32666666666666666,523.705,37716.37333333333,1725.1433333333334,0.21,0.2375,,,,,,,,,,,,,,,,,,,,,2001
2001-10-15,15.28,25860.0,2012500.0,76500.0,7.3933333333333335,8.31,0.32,544.42,42368.4225,1610.526,0.15333333333333335,0.17333333333333334,,,,,,,,,,,,,,,,,,,,,2001
2001-11-15,12.93,26366.9,1781583.35,68500.0,6.463333333333334,7.890000000000001,0.2733333333333333,555.094,37507.020000000004,1442.104,0.13333333333333333,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,2001
2001-12-15,10.65,19274.1,1488716.65,61415.0,4.59,6.03,0.22,405.77,31341.404,893.3459999999999,0.09599999999999999,0.12666666666666668,,,,,,,,,,,,,,,,,,,,,2001
2002-01-15,7.236666666666667,12792.333333333334,1348211.0,57888.833333333336,3.585,4.609999999999999,0.15333333333333335,269.31333333333333,28383.39,1218.71,0.07550000000000001,0.0985,,,,,,,,,,,,,,,,,,,,,2002
2002-02-15,7.83,13279.666666666666,1556173.1666666667,62194.5,5.38,6.9575,0.165,279.57166666666666,32761.539999999997,1309.3583333333333,0.11,0.14750000000000002,,,,,,,,,,,,,,,,,,,,,2002
2002-03-15,6.0,11987.6,1935000.0,66000.0,4.735,5.79,0.13,252.37199999999999,40736.842,1389.4740000000002,0.09875,0.12,,,,,,,,,,,,,,,,,,,,,2002
2002-04-15,6.824999999999999,11867.0,1872013.8333333333,65083.333333333336,4.67,5.825,0.14500000000000002,249.83,39410.818333333336,1203.675,0.0995,0.125,,,,,,,,,,,,,,,,,,,,,2002
2002-05-15,8.225,11002.5,1944444.5,68611.16666666667,4.675000000000001,5.835,0.175,231.63166666666666,40935.67333333333,1444.445,0.09875,0.1225,,,,,,,,,,,,,,,,,,,,,2002
2002-06-15,10.616666666666667,10953.5,2013541.6666666667,75694.5,4.6875,6.1975,0.22333333333333336,230.6016666666667,42390.35166666667,1593.5683333333334,0.09825,0.1275,,,,,,,,,,,,,,,,,,,,,2002
2002-07-15,7.9399999999999995,14096.5,2115911.1666666665,82916.66666666667,5.075,6.5525,0.16999999999999998,296.7683333333334,44545.496666666666,1745.6116666666667,0.10725,0.1375,,,,,,,,,,,,,,,,,,,,,2002
2002-08-15,9.26,13640.333333333334,1981481.5,82055.5,5.705,6.71,0.19333333333333336,287.1666666666667,41715.39833333334,1727.4816666666666,0.12,0.14250000000000002,,,,,,,,,,,,,,,,,,,,,2002
2002-09-15,11.313333333333333,15338.166666666666,2543388.8333333335,90416.66666666667,7.4375,8.775,0.23666666666666666,322.90833333333336,53545.02833333333,1903.5066666666664,0.1575,0.185,,,,,,,,,,,,,,,,,,,,,2002
2002-10-15,11.31,18171.666666666668,2673264.0,96583.33333333333,8.01,9.782499999999999,0.24,382.56166666666667,56279.24166666667,2033.3316666666667,0.16749999999999998,0.20750000000000002,,,,,,,,,,,,,,,,,,,,,2002
2002-11-15,11.6,22612.5,3426569.3333333335,101750.0,9.1325,11.67,0.24,476.0516666666667,72138.30333333333,2142.103333333333,0.19,0.245,,,,,,,,,,,,,,,,,,,,,2002
2002-12-15,10.0,19619.333333333332,3398902.6666666665,102986.16666666667,7.985,9.8625,0.21,413.03999999999996,71555.84333333334,2168.1316666666667,0.16749999999999998,0.2075,,,,,,,,,,,,,,,,,,,,,2002
2003-01-15,11.5,13.833333333333334,,,7.0,8.75,0.27,0.32166666666666666,,,0.16166666666666665,0.205,,,,,,,,,,,,,,,,,,,,,2003
2003-02-15,11.5,13.666666666666666,,,7.166666666666667,9.5,0.27,0.32,,,0.16666666666666666,0.22,,,,,,,,,,,,,,,,,,,,,2003
2003-03-15,11.5,16.833333333333332,,,7.333333333333333,9.75,0.27,0.39166666666666666,,,0.17,0.225,,,,,,,,,,,,,,,,,,,,,2003
2003-04-15,11.5,15.5,,,7.0,9.0,0.27,0.36333333333333334,,,0.16333333333333333,0.21,,,,,,,,,,,,,,,,,,,,,2003
2003-05-15,12.5,14.833333333333334,,,6.333333333333333,8.75,0.2925,0.3466666666666667,,,0.14833333333333334,0.205,,,,,,,,,,,,,,,,,,,,,2003
2003-06-15,11.5,14.5,,,7.0,9.25,0.27,0.33666666666666667,,,0.16166666666666665,0.215,,,,,,,,,,,,,,,,,,,,,2003
2003-07-15,11.5,14.166666666666666,,,6.833333333333333,9.5,0.27,0.3283333333333333,,,0.15833333333333335,0.22,,,,,,,,,,,,,,,,,,,,,2003
2003-08-15,11.7,13.998333333333333,,,6.933333333333334,9.325,0.275,0.325,,,0.16166666666666665,0.2175,,,,,,,,,,,,,,,,,,,,,2003
2003-09-15,13.700000000000001,14.381666666666666,,,7.245,9.85,0.32,0.33499999999999996,,,0.16833333333333333,0.22999999999999998,,,,,,,,,,,,,,,,,,,,,2003
2003-10-15,13.633333333333333,14.576666666666666,,,7.266666666666667,10.175,0.32,0.3383333333333334,,,0.17,0.2375,,,,,,,,,,,,,,,,,,,,,2003
2003-11-15,11.0,15.156666666666666,,,7.39,10.65,0.26,0.35333333333333333,,,0.17166666666666666,0.245,,,,,,,,,,,,,,,,,,,,,2003
2003-12-15,13.25,15.598333333333334,,,7.573333333333333,11.425,0.31,0.36166666666666664,,,0.17500000000000002,0.2675,,,,,,,,,,,,,,,,,,,,,2003
2004-01-15,15.0,15.071666666666667,,,7.683333333333334,11.625,0.35,0.35000000000000003,,,0.18000000000000002,0.27,,,,,,,,,,,,,,,,,,,,,2004
2004-02-15,15.800000000000002,15.198333333333332,,,7.798333333333333,12.2,0.3666666666666667,0.355,,,0.18000000000000002,0.28250000000000003,,,,,,,,,,,,,,,,,,,,,2004
2004-03-15,15.866666666666667,14.942499999999999,,,8.385,12.25,0.36999999999999994,0.34625,,,0.195,0.28500000000000003,,,,,,,,,,,,,,,,,,,,,2004
2004-04-15,14.0,15.49375,,,8.40375,12.15,0.32666666666666666,0.36,,,0.195,0.2825,,,,,,,,,,,,,,,,,,,,,2004
2004-05-15,15.9,15.0725,,,8.0525,12.025,0.36999999999999994,0.35,,,0.1875,0.28,,,,,,,,,,,,,,,,,,,,,2004
2004-06-15,14.833333333333334,19.342857142857145,,,8.987142857142858,11.5,0.3466666666666667,0.45,,,0.20857142857142857,0.2675,,,,,,,,,,,,,,,,,,,,,2004
2004-07-15,17.5,19.31125,,,9.24125,11.4,0.41,0.44875,,,0.21375,0.265,,,,,,,,,,,,,,,,,,,,,2004
2004-08-15,17.5,23.06,,,9.67,11.05,0.41,0.5375,,,0.225,0.2575,,,,,,,,,,,,,,,,,,,,,2004
2004-09-15,16.55,19.24,,,8.995000000000001,11.475,0.385,0.44625,,,0.20875,0.2675,,,,,,,,,,,,,,,,,,,,,2004
